State Code,District Code,Area Name,Total/ Rural/ Urban,Age-group,Gender,Type,Rate
12,2,District - Tawang,Rural,Age not stated,Male,In seeing,2
12,2,District - Tawang,Urban,0-4,Male,In seeing,2
12,2,District - Tawang,Urban,5-9,Male,In seeing,3
12,2,District - Tawang,Urban,10-19,Male,In seeing,11
12,2,District - Tawang,Urban,20-29,Male,In seeing,26
12,2,District - Tawang,Urban,30-39,Male,In seeing,53
12,2,District - Tawang,Urban,40-49,Male,In seeing,37
12,2,District - Tawang,Urban,50-59,Male,In seeing,10
12,2,District - Tawang,Urban,60-69,Male,In seeing,2
12,2,District - Tawang,Urban,70-79,Male,In seeing,1
12,2,District - Tawang,Urban,80-89,Male,In seeing,0
12,2,District - Tawang,Urban,90+,Male,In seeing,0
12,2,District - Tawang,Urban,Age not stated,Male,In seeing,0
12,3,District - Tawang,Rural,0-4,Male,In seeing,40
12,3,District - Tawang,Rural,5-9,Male,In seeing,49
12,3,District - Tawang,Rural,10-19,Male,In seeing,88
12,3,District - Tawang,Rural,20-29,Male,In seeing,149
12,3,District - Tawang,Rural,30-39,Male,In seeing,255
12,3,District - Tawang,Rural,40-49,Male,In seeing,249
12,3,District - Tawang,Rural,50-59,Male,In seeing,165
12,3,District - Tawang,Rural,60-69,Male,In seeing,70
12,3,District - Tawang,Rural,70-79,Male,In seeing,20
12,3,District - Tawang,Rural,80-89,Male,In seeing,4
12,3,District - Tawang,Rural,90+,Male,In seeing,1
12,3,District - Tawang,Rural,Age not stated,Male,In seeing,0
12,3,District - Tawang,Urban,0-4,Male,In seeing,20
12,3,District - Tawang,Urban,5-9,Male,In seeing,8
12,3,District - Tawang,Urban,10-19,Male,In seeing,30
12,3,District - Tawang,Urban,20-29,Male,In seeing,49
12,3,District - Tawang,Urban,30-39,Male,In seeing,92
12,3,District - Tawang,Urban,40-49,Male,In seeing,60
12,3,District - Tawang,Urban,50-59,Male,In seeing,40
12,3,District - Tawang,Urban,60-69,Male,In seeing,5
12,3,District - Tawang,Urban,70-79,Male,In seeing,0
12,3,District - Tawang,Urban,80-89,Male,In seeing,0
12,3,District - Tawang,Urban,90+,Male,In seeing,0
12,3,District - Tawang,Urban,Age not stated,Male,In seeing,1
12,4,District - Tawang,Rural,0-4,Male,In seeing,58
12,4,District - Tawang,Rural,5-9,Male,In seeing,62
12,4,District - Tawang,Rural,10-19,Male,In seeing,118
12,4,District - Tawang,Rural,20-29,Male,In seeing,239
12,4,District - Tawang,Rural,30-39,Male,In seeing,405
12,4,District - Tawang,Rural,40-49,Male,In seeing,258
12,4,District - Tawang,Rural,50-59,Male,In seeing,130
12,4,District - Tawang,Rural,60-69,Male,In seeing,62
12,4,District - Tawang,Rural,70-79,Male,In seeing,15
12,4,District - Tawang,Rural,80-89,Male,In seeing,14
12,4,District - Tawang,Rural,90+,Male,In seeing,3
12,4,District - Tawang,Rural,Age not stated,Male,In seeing,2
12,4,District - Tawang,Urban,0-4,Male,In seeing,20
12,4,District - Tawang,Urban,5-9,Male,In seeing,32
12,4,District - Tawang,Urban,10-19,Male,In seeing,68
12,4,District - Tawang,Urban,20-29,Male,In seeing,242
12,4,District - Tawang,Urban,30-39,Male,In seeing,381
12,4,District - Tawang,Urban,40-49,Male,In seeing,288
12,4,District - Tawang,Urban,50-59,Male,In seeing,89
12,4,District - Tawang,Urban,60-69,Male,In seeing,18
12,4,District - Tawang,Urban,70-79,Male,In seeing,6
12,4,District - Tawang,Urban,80-89,Male,In seeing,2
