Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,12,2,0,District - West Kameng  02,Urban,5-9,3,5,0,1,0,0,0,0,0,0
C4920,12,2,0,District - West Kameng  02,Urban,10-19,11,4,1,3,0,2,1,0,0,0
C4920,12,2,0,District - West Kameng  02,Urban,20-29,26,7,1,1,1,0,1,0,0,1
C4920,12,2,0,District - West Kameng  02,Urban,30-39,53,9,1,1,1,1,0,0,0,0
C4920,12,2,0,District - West Kameng  02,Urban,40-49,37,3,0,0,1,0,0,0,0,0
C4920,12,2,0,District - West Kameng  02,Urban,50-59,10,2,1,0,2,0,1,0,0,0
C4920,12,2,0,District - West Kameng  02,Urban,60-69,2,0,0,0,2,0,0,0,0,0
C4920,12,2,0,District - West Kameng  02,Urban,70-79,1,0,0,0,0,0,0,0,0,0
C4920,12,2,0,District - West Kameng  02,Urban,80-89,0,0,0,0,0,0,0,0,0,0
C4920,12,2,0,District - West Kameng  02,Urban,90+,0,0,0,0,0,0,0,0,0,0
C4920,12,2,0,District - West Kameng  02,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,12,3,0,District - East Kameng  03,Rural,0-4,40,52,1,3,8,4,5,7,0,0
C4920,12,3,0,District - East Kameng  03,Rural,5-9,49,61,13,7,15,9,18,9,2,1
C4920,12,3,0,District - East Kameng  03,Rural,10-19,88,83,12,14,16,17,26,21,7,4
C4920,12,3,0,District - East Kameng  03,Rural,20-29,149,51,11,8,9,10,12,4,3,2
C4920,12,3,0,District - East Kameng  03,Rural,30-39,255,71,14,9,15,12,10,6,4,5
C4920,12,3,0,District - East Kameng  03,Rural,40-49,249,78,6,6,19,9,8,6,1,2
C4920,12,3,0,District - East Kameng  03,Rural,50-59,165,68,4,7,9,10,19,7,2,6
C4920,12,3,0,District - East Kameng  03,Rural,60-69,70,34,2,3,16,8,15,9,1,5
C4920,12,3,0,District - East Kameng  03,Rural,70-79,20,17,3,0,6,2,3,9,1,0
C4920,12,3,0,District - East Kameng  03,Rural,80-89,4,8,0,0,0,2,3,4,0,0
C4920,12,3,0,District - East Kameng  03,Rural,90+,1,2,0,0,0,0,2,0,0,0
C4920,12,3,0,District - East Kameng  03,Rural,Age not stated,0,1,0,0,0,0,0,0,0,0
