Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,21,17,0,District - Khordha  *  17,Urban,0-4,464,462,16,13,12,14,110,73,76,57
C4920,21,17,0,District - Khordha  *  17,Urban,5-9,666,581,144,77,68,42,179,113,142,108
C4920,21,17,0,District - Khordha  *  17,Urban,10-19,1625,1321,280,186,134,91,497,292,422,288
C4920,21,17,0,District - Khordha  *  17,Urban,20-29,1629,1211,157,112,128,75,576,291,453,252
C4920,21,17,0,District - Khordha  *  17,Urban,30-39,1352,914,90,59,72,63,523,231,306,180
C4920,21,17,0,District - Khordha  *  17,Urban,40-49,1074,673,53,27,70,44,448,145,183,131
C4920,21,17,0,District - Khordha  *  17,Urban,50-59,739,409,52,26,74,39,418,123,123,76
C4920,21,17,0,District - Khordha  *  17,Urban,60-69,416,306,22,16,60,67,284,139,59,50
C4920,21,17,0,District - Khordha  *  17,Urban,70-79,189,200,12,7,39,45,147,98,22,33
C4920,21,17,0,District - Khordha  *  17,Urban,80-89,80,52,5,8,29,18,52,47,4,12
C4920,21,17,0,District - Khordha  *  17,Urban,90+,30,28,1,1,6,7,11,10,0,2
C4920,21,17,0,District - Khordha  *  17,Urban,Age not stated,50,31,2,1,4,2,7,4,3,4
C4920,21,18,0,District - Puri  18,Rural,0-4,1185,1106,27,26,33,22,260,205,70,70
C4920,21,18,0,District - Puri  18,Rural,5-9,1530,1342,253,182,113,100,434,268,198,172
C4920,21,18,0,District - Puri  18,Rural,10-19,3101,2619,394,324,337,307,1097,688,575,520
C4920,21,18,0,District - Puri  18,Rural,20-29,2117,1816,217,176,246,168,970,467,654,434
C4920,21,18,0,District - Puri  18,Rural,30-39,1665,1357,166,132,187,141,794,346,606,420
C4920,21,18,0,District - Puri  18,Rural,40-49,1349,1021,114,93,206,162,785,310,418,317
C4920,21,18,0,District - Puri  18,Rural,50-59,1084,992,72,61,221,213,783,376,236,256
C4920,21,18,0,District - Puri  18,Rural,60-69,1285,1371,57,65,324,281,862,584,178,186
C4920,21,18,0,District - Puri  18,Rural,70-79,1226,1086,44,23,291,244,654,480,90,93
C4920,21,18,0,District - Puri  18,Rural,80-89,464,397,10,14,112,76,225,186,30,21
C4920,21,18,0,District - Puri  18,Rural,90+,84,104,3,0,20,22,42,54,9,3
C4920,21,18,0,District - Puri  18,Rural,Age not stated,25,22,0,2,4,2,8,3,2,1
C4920,21,18,0,District - Puri  18,Urban,0-4,120,112,2,4,1,2,31,16,7,2
C4920,21,18,0,District - Puri  18,Urban,5-9,169,154,33,28,7,6,50,33,28,12
C4920,21,18,0,District - Puri  18,Urban,10-19,384,311,56,52,16,17,102,79,77,46
C4920,21,18,0,District - Puri  18,Urban,20-29,342,303,28,28,18,10,113,54,92,53
C4920,21,18,0,District - Puri  18,Urban,30-39,289,245,23,20,18,10,115,51,74,50
C4920,21,18,0,District - Puri  18,Urban,40-49,242,178,8,6,20,12,84,39,56,38
C4920,21,18,0,District - Puri  18,Urban,50-59,153,126,7,6,11,12,106,31,29,24
C4920,21,18,0,District - Puri  18,Urban,60-69,99,98,3,5,15,10,97,79,16,17
C4920,21,18,0,District - Puri  18,Urban,70-79,82,72,3,7,11,18,81,34,13,9
C4920,21,18,0,District - Puri  18,Urban,80-89,37,28,2,1,5,6,18,12,0,2
C4920,21,18,0,District - Puri  18,Urban,90+,8,7,0,0,4,2,3,4,1,0
C4920,21,18,0,District - Puri  18,Urban,Age not stated,5,2,0,0,0,1,4,1,1,4
C4920,21,19,0,District - Ganjam  19,Rural,0-4,2288,2052,72,57,23,22,406,301,75,78
C4920,21,19,0,District - Ganjam  19,Rural,5-9,2661,2642,451,362,138,92,1086,704,259,168
C4920,21,19,0,District - Ganjam  19,Rural,10-19,4171,4082,793,615,268,154,2720,1876,687,458
C4920,21,19,0,District - Ganjam  19,Rural,20-29,2824,3311,533,426,195,121,1507,863,700,433
C4920,21,19,0,District - Ganjam  19,Rural,30-39,2701,2872,450,301,215,128,1221,691,701,437
C4920,21,19,0,District - Ganjam  19,Rural,40-49,2232,2103,327,184,203,133,1102,498,478,300
C4920,21,19,0,District - Ganjam  19,Rural,50-59,1639,1920,190,127,250,234,828,490,289,210
C4920,21,19,0,District - Ganjam  19,Rural,60-69,1791,2292,151,108,371,349,964,707,178,162
C4920,21,19,0,District - Ganjam  19,Rural,70-79,1292,1521,104,49,334,289,654,552,88,70
C4920,21,19,0,District - Ganjam  19,Rural,80-89,459,439,17,19,140,98,271,216,28,23
C4920,21,19,0,District - Ganjam  19,Rural,90+,97,118,1,2,42,21,61,54,7,1
C4920,21,19,0,District - Ganjam  19,Rural,Age not stated,109,72,7,7,5,0,27,6,3,0
C4920,21,19,0,District - Ganjam  19,Urban,0-4,321,267,6,5,4,3,50,23,11,11
C4920,21,19,0,District - Ganjam  19,Urban,5-9,525,421,67,49,18,8,147,87,47,42
C4920,21,19,0,District - Ganjam  19,Urban,10-19,980,934,118,118,52,47,387,258,140,116
C4920,21,19,0,District - Ganjam  19,Urban,20-29,768,688,104,78,45,18,329,196,171,97
C4920,21,19,0,District - Ganjam  19,Urban,30-39,637,576,65,56,42,19,264,134,152,98
C4920,21,19,0,District - Ganjam  19,Urban,40-49,601,423,45,38,39,22,232,82,114,62
C4920,21,19,0,District - Ganjam  19,Urban,50-59,400,328,25,21,27,30,178,70,72,41
C4920,21,19,0,District - Ganjam  19,Urban,60-69,285,303,15,15,42,57,154,98,48,23
C4920,21,19,0,District - Ganjam  19,Urban,70-79,179,188,14,8,33,38,92,69,10,10
C4920,21,19,0,District - Ganjam  19,Urban,80-89,57,66,3,2,17,15,38,32,4,3
C4920,21,19,0,District - Ganjam  19,Urban,90+,17,18,1,0,4,5,12,13,1,1
C4920,21,19,0,District - Ganjam  19,Urban,Age not stated,20,18,3,0,1,0,3,4,2,3
C4920,21,20,0,District - Gajapati  *  20,Rural,0-4,221,217,22,12,9,13,73,79,15,12
C4920,21,20,0,District - Gajapati  *  20,Rural,5-9,341,276,100,85,87,78,259,160,41,36
C4920,21,20,0,District - Gajapati  *  20,Rural,10-19,362,417,151,154,82,72,499,357,127,93
C4920,21,20,0,District - Gajapati  *  20,Rural,20-29,334,319,76,96,44,34,265,215,85,68
C4920,21,20,0,District - Gajapati  *  20,Rural,30-39,335,280,60,85,56,37,283,156,60,68
C4920,21,20,0,District - Gajapati  *  20,Rural,40-49,307,299,37,58,80,69,239,142,43,49
C4920,21,20,0,District - Gajapati  *  20,Rural,50-59,274,359,25,32,69,102,184,145,28,25
C4920,21,20,0,District - Gajapati  *  20,Rural,60-69,346,523,19,44,107,121,144,183,14,16
C4920,21,20,0,District - Gajapati  *  20,Rural,70-79,178,242,7,8,53,55,78,87,8,5
C4920,21,20,0,District - Gajapati  *  20,Rural,80-89,58,78,3,0,16,13,20,19,5,1
C4920,21,20,0,District - Gajapati  *  20,Rural,90+,14,19,0,0,8,3,5,4,0,0
C4920,21,20,0,District - Gajapati  *  20,Rural,Age not stated,9,3,0,2,1,1,1,1,0,1
C4920,21,20,0,District - Gajapati  *  20,Urban,0-4,14,12,0,0,0,0,8,1,1,1
C4920,21,20,0,District - Gajapati  *  20,Urban,5-9,23,22,8,4,2,2,13,9,8,2
C4920,21,20,0,District - Gajapati  *  20,Urban,10-19,39,28,10,8,3,2,39,22,11,8
C4920,21,20,0,District - Gajapati  *  20,Urban,20-29,22,31,12,9,5,5,33,17,15,8
C4920,21,20,0,District - Gajapati  *  20,Urban,30-39,26,27,2,6,4,1,35,17,17,14
C4920,21,20,0,District - Gajapati  *  20,Urban,40-49,23,24,4,1,3,0,26,10,9,5
C4920,21,20,0,District - Gajapati  *  20,Urban,50-59,20,28,2,4,4,2,23,14,2,2
C4920,21,20,0,District - Gajapati  *  20,Urban,60-69,23,33,0,3,5,8,18,5,4,2
C4920,21,20,0,District - Gajapati  *  20,Urban,70-79,12,17,1,0,3,5,11,3,2,2
C4920,21,20,0,District - Gajapati  *  20,Urban,80-89,2,5,0,0,0,1,3,6,0,0
C4920,21,20,0,District - Gajapati  *  20,Urban,90+,2,3,1,0,0,0,1,1,0,0
C4920,21,20,0,District - Gajapati  *  20,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,21,21,0,District - Kandhamal  21,Rural,0-4,310,311,17,21,19,19,110,97,36,14
C4920,21,21,0,District - Kandhamal  21,Rural,5-9,441,401,141,85,113,97,239,183,91,51
C4920,21,21,0,District - Kandhamal  21,Rural,10-19,665,596,152,154,155,124,463,380,120,115
C4920,21,21,0,District - Kandhamal  21,Rural,20-29,521,466,90,64,89,58,310,222,132,109
C4920,21,21,0,District - Kandhamal  21,Rural,30-39,608,406,74,53,89,53,372,203,130,125
C4920,21,21,0,District - Kandhamal  21,Rural,40-49,494,334,44,31,128,59,329,182,110,79
C4920,21,21,0,District - Kandhamal  21,Rural,50-59,427,337,31,12,131,109,264,166,31,44
C4920,21,21,0,District - Kandhamal  21,Rural,60-69,484,544,22,21,184,162,280,241,25,22
C4920,21,21,0,District - Kandhamal  21,Rural,70-79,234,286,7,12,78,86,120,98,7,10
