Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,13,7,0,District - Kohima  07,Urban,20-29,38,33,7,11,1,4,7,3,6,6
C4920,13,7,0,District - Kohima  07,Urban,30-39,54,17,1,3,1,1,6,1,5,3
C4920,13,7,0,District - Kohima  07,Urban,40-49,34,11,2,1,4,0,4,4,6,0
C4920,13,7,0,District - Kohima  07,Urban,50-59,15,4,1,3,3,0,5,2,4,3
C4920,13,7,0,District - Kohima  07,Urban,60-69,3,3,0,0,1,0,1,0,2,1
C4920,13,7,0,District - Kohima  07,Urban,70-79,2,2,0,1,1,0,0,2,0,0
C4920,13,7,0,District - Kohima  07,Urban,80-89,0,0,0,0,1,0,0,0,0,1
C4920,13,7,0,District - Kohima  07,Urban,90+,1,2,0,1,0,0,0,0,0,0
C4920,13,7,0,District - Kohima  07,Urban,Age not stated,1,0,0,0,0,0,0,0,0,1
C4920,13,8,0,District - Phek  08,Rural,0-4,22,15,1,3,2,0,2,5,3,2
C4920,13,8,0,District - Phek  08,Rural,5-9,27,29,10,10,8,3,15,7,2,7
C4920,13,8,0,District - Phek  08,Rural,10-19,64,60,25,18,12,4,26,25,14,13
C4920,13,8,0,District - Phek  08,Rural,20-29,86,38,18,26,11,13,21,19,36,24
C4920,13,8,0,District - Phek  08,Rural,30-39,65,21,20,25,9,12,14,18,21,14
C4920,13,8,0,District - Phek  08,Rural,40-49,32,20,14,13,16,5,11,8,13,13
C4920,13,8,0,District - Phek  08,Rural,50-59,21,22,14,7,5,6,14,9,11,5
C4920,13,8,0,District - Phek  08,Rural,60-69,14,17,7,5,17,11,10,13,5,1
C4920,13,8,0,District - Phek  08,Rural,70-79,3,7,3,2,13,8,7,6,2,0
C4920,13,8,0,District - Phek  08,Rural,80-89,4,4,1,1,6,3,3,5,2,0
C4920,13,8,0,District - Phek  08,Rural,90+,4,3,0,0,1,0,0,0,0,1
C4920,13,8,0,District - Phek  08,Rural,Age not stated,3,0,0,0,0,0,0,0,0,0
C4920,13,8,0,District - Phek  08,Urban,0-4,9,4,0,0,0,0,2,0,0,0
C4920,13,8,0,District - Phek  08,Urban,5-9,8,4,2,1,0,0,1,2,0,0
C4920,13,8,0,District - Phek  08,Urban,10-19,18,10,3,2,0,0,2,3,1,2
C4920,13,8,0,District - Phek  08,Urban,20-29,7,15,1,1,1,0,0,1,0,1
C4920,13,8,0,District - Phek  08,Urban,30-39,11,6,1,3,0,1,0,1,0,1
C4920,13,8,0,District - Phek  08,Urban,40-49,11,4,0,0,1,2,0,0,0,0
C4920,13,8,0,District - Phek  08,Urban,50-59,10,2,1,0,0,0,0,0,0,0
C4920,13,8,0,District - Phek  08,Urban,60-69,4,1,0,0,0,1,0,1,0,0
C4920,13,8,0,District - Phek  08,Urban,70-79,0,1,0,0,0,0,1,0,0,0
C4920,13,8,0,District - Phek  08,Urban,80-89,0,0,0,0,1,0,0,0,0,0
C4920,13,8,0,District - Phek  08,Urban,90+,0,0,0,0,0,1,0,1,0,0
C4920,13,8,0,District - Phek  08,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
