Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,18,5,0,District - Barpeta  05,Urban,50-59,72,30,11,2,11,10,30,4,17,9
C4920,18,5,0,District - Barpeta  05,Urban,60-69,45,35,1,2,7,11,23,23,4,3
C4920,18,5,0,District - Barpeta  05,Urban,70-79,33,25,2,4,9,22,14,17,3,3
C4920,18,5,0,District - Barpeta  05,Urban,80-89,11,18,1,0,3,7,1,8,3,1
C4920,18,5,0,District - Barpeta  05,Urban,90+,3,3,1,0,0,9,1,2,0,0
C4920,18,5,0,District - Barpeta  05,Urban,Age not stated,0,0,0,0,0,0,1,0,0,0
C4920,18,6,0,District - Kamrup  06,Rural,0-4,566,524,35,31,27,20,159,114,43,35
C4920,18,6,0,District - Kamrup  06,Rural,5-9,775,687,277,196,93,90,283,187,67,63
C4920,18,6,0,District - Kamrup  06,Rural,10-19,1434,1233,561,390,254,169,578,384,250,202
C4920,18,6,0,District - Kamrup  06,Rural,20-29,1045,914,401,319,147,123,507,234,312,195
C4920,18,6,0,District - Kamrup  06,Rural,30-39,1185,804,260,216,175,174,461,206,361,190
C4920,18,6,0,District - Kamrup  06,Rural,40-49,1090,607,173,115,168,153,452,155,267,153
C4920,18,6,0,District - Kamrup  06,Rural,50-59,803,483,114,83,205,205,362,166,129,100
C4920,18,6,0,District - Kamrup  06,Rural,60-69,626,591,67,52,272,295,328,260,104,108
C4920,18,6,0,District - Kamrup  06,Rural,70-79,419,355,28,26,186,211,221,236,72,69
C4920,18,6,0,District - Kamrup  06,Rural,80-89,126,136,17,6,69,64,104,102,21,40
C4920,18,6,0,District - Kamrup  06,Rural,90+,44,48,4,3,23,34,46,53,7,11
C4920,18,6,0,District - Kamrup  06,Rural,Age not stated,17,5,5,1,6,1,9,3,3,0
C4920,18,6,0,District - Kamrup  06,Urban,0-4,284,261,6,13,3,4,42,27,10,20
C4920,18,6,0,District - Kamrup  06,Urban,5-9,371,372,108,67,18,21,99,57,46,38
C4920,18,6,0,District - Kamrup  06,Urban,10-19,861,780,233,184,51,49,204,140,170,101
C4920,18,6,0,District - Kamrup  06,Urban,20-29,1043,739,154,112,62,32,201,111,185,116
C4920,18,6,0,District - Kamrup  06,Urban,30-39,1133,628,109,73,41,42,167,69,153,92
C4920,18,6,0,District - Kamrup  06,Urban,40-49,864,379,49,48,39,28,172,62,107,58
C4920,18,6,0,District - Kamrup  06,Urban,50-59,522,264,54,13,36,41,131,50,68,37
C4920,18,6,0,District - Kamrup  06,Urban,60-69,322,184,30,18,42,52,86,45,31,22
C4920,18,6,0,District - Kamrup  06,Urban,70-79,131,98,9,3,28,40,51,39,10,6
C4920,18,6,0,District - Kamrup  06,Urban,80-89,37,34,6,2,17,18,16,16,7,4
C4920,18,6,0,District - Kamrup  06,Urban,90+,7,8,1,3,2,5,4,4,2,0
C4920,18,6,0,District - Kamrup  06,Urban,Age not stated,22,10,1,1,2,0,2,3,4,1
C4920,18,7,0,District - Nalbari  07,Rural,0-4,469,411,19,15,15,8,101,51,16,19
C4920,18,7,0,District - Nalbari  07,Rural,5-9,567,561,186,151,74,48,187,115,34,41
C4920,18,7,0,District - Nalbari  07,Rural,10-19,1135,1090,498,420,167,153,451,269,149,119
C4920,18,7,0,District - Nalbari  07,Rural,20-29,846,731,371,300,131,95,367,185,235,117
C4920,18,7,0,District - Nalbari  07,Rural,30-39,879,594,263,177,144,127,320,163,257,151
C4920,18,7,0,District - Nalbari  07,Rural,40-49,677,399,158,105,159,114,314,108,180,105
C4920,18,7,0,District - Nalbari  07,Rural,50-59,511,305,72,54,147,110,221,111,84,62
C4920,18,7,0,District - Nalbari  07,Rural,60-69,438,404,55,41,203,178,211,123,57,62
C4920,18,7,0,District - Nalbari  07,Rural,70-79,298,245,29,20,146,132,125,97,32,41
C4920,18,7,0,District - Nalbari  07,Rural,80-89,102,72,6,3,70,51,39,31,15,10
C4920,18,7,0,District - Nalbari  07,Rural,90+,25,29,4,2,12,15,11,12,3,2
C4920,18,7,0,District - Nalbari  07,Rural,Age not stated,8,7,1,1,3,0,4,1,1,1
C4920,18,7,0,District - Nalbari  07,Urban,0-4,13,15,0,0,1,0,0,1,0,0
C4920,18,7,0,District - Nalbari  07,Urban,5-9,21,16,2,5,0,0,3,4,1,0
C4920,18,7,0,District - Nalbari  07,Urban,10-19,38,34,4,6,1,0,6,4,3,4
C4920,18,7,0,District - Nalbari  07,Urban,20-29,27,22,4,4,1,1,6,3,5,2
C4920,18,7,0,District - Nalbari  07,Urban,30-39,34,28,1,0,0,1,11,1,4,0
C4920,18,7,0,District - Nalbari  07,Urban,40-49,18,17,2,2,0,0,4,2,2,0
C4920,18,7,0,District - Nalbari  07,Urban,50-59,8,10,0,1,0,0,3,1,1,2
C4920,18,7,0,District - Nalbari  07,Urban,60-69,10,10,0,1,0,0,2,0,1,1
C4920,18,7,0,District - Nalbari  07,Urban,70-79,9,5,0,1,1,1,0,0,0,0
C4920,18,7,0,District - Nalbari  07,Urban,80-89,1,0,0,0,0,0,1,1,0,0
C4920,18,7,0,District - Nalbari  07,Urban,90+,1,0,0,0,0,0,0,0,0,0
C4920,18,7,0,District - Nalbari  07,Urban,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,18,8,0,District - Darrang  08,Rural,0-4,1069,1125,43,22,42,33,148,101,47,44
C4920,18,8,0,District - Darrang  08,Rural,5-9,1234,1218,322,258,129,169,299,188,94,70
C4920,18,8,0,District - Darrang  08,Rural,10-19,2083,1826,883,754,308,294,651,448,298,213
C4920,18,8,0,District - Darrang  08,Rural,20-29,1550,1575,690,655,226,231,483,290,329,257
C4920,18,8,0,District - Darrang  08,Rural,30-39,1603,1305,531,397,264,230,415,241,373,210
