Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,20,4,District-Giridih,Rural,30-39,366,782,694,224,161,661,312,298,197
C4920,20,4,District-Giridih,Rural,40-49,387,733,542,168,122,658,283,253,133
C4920,20,4,District-Giridih,Rural,50-59,426,612,544,84,70,609,353,130,84
C4920,20,4,District-Giridih,Rural,60-69,587,690,647,66,46,763,511,102,83
C4920,20,4,District-Giridih,Rural,70-79,419,390,360,36,33,455,355,20,34
C4920,20,4,District-Giridih,Rural,80-89,116,112,114,12,8,149,135,7,6
C4920,20,4,District-Giridih,Rural,90+,33,45,24,2,1,50,53,4,1
C4920,20,4,District-Giridih,Rural,Age Not Stated,2,6,1,1,0,2,2,3,0
C4920,20,4,District-Giridih,Urban,0-4,14,24,34,7,4,18,9,4,3
C4920,20,4,District-Giridih,Urban,5-9,21,41,41,23,13,16,16,14,6
C4920,20,4,District-Giridih,Urban,10-19,62,73,65,32,27,88,42,43,33
C4920,20,4,District-Giridih,Urban,20-29,47,56,56,38,25,74,47,35,29
C4920,20,4,District-Giridih,Urban,30-39,44,41,45,32,19,65,27,37,22
C4920,20,4,District-Giridih,Urban,40-49,48,62,33,12,15,84,35,31,11
C4920,20,4,District-Giridih,Urban,50-59,36,40,37,9,6,64,34,14,6
C4920,20,4,District-Giridih,Urban,60-69,51,38,33,11,3,69,37,4,3
C4920,20,4,District-Giridih,Urban,70-79,31,18,24,3,1,32,25,3,2
C4920,20,4,District-Giridih,Urban,80-89,6,6,9,0,0,9,12,2,0
C4920,20,4,District-Giridih,Urban,90+,1,2,1,0,1,2,3,1,0
C4920,20,4,District-Giridih,Urban,Age Not Stated,0,1,0,0,0,0,0,0,0
C4920,20,5,District-Deoghar,Rural,0-4,654,389,339,38,43,134,85,31,56
C4920,20,5,District-Deoghar,Rural,5-9,768,461,438,273,250,193,122,96,81
C4920,20,5,District-Deoghar,Rural,10-19,1296,793,608,490,439,590,357,268,204
C4920,20,5,District-Deoghar,Rural,20-29,862,578,466,336,233,565,296,232,142
C4920,20,5,District-Deoghar,Rural,30-39,781,552,423,230,185,434,243,210,130
C4920,20,5,District-Deoghar,Rural,40-49,581,439,374,172,125,455,225,142,78
C4920,20,5,District-Deoghar,Rural,50-59,512,359,316,101,91,396,231,92,59
C4920,20,5,District-Deoghar,Rural,60-69,591,422,402,90,61,507,343,73,50
C4920,20,5,District-Deoghar,Rural,70-79,335,243,212,42,33,273,175,25,16
C4920,20,5,District-Deoghar,Rural,80-89,95,84,55,12,11,75,63,4,0
C4920,20,5,District-Deoghar,Rural,90+,22,13,11,2,5,23,17,0,2
C4920,20,5,District-Deoghar,Rural,Age Not Stated,17,9,10,6,0,7,9,3,1
C4920,20,5,District-Deoghar,Urban,0-4,146,68,59,4,3,19,10,15,5
C4920,20,5,District-Deoghar,Urban,5-9,168,71,71,41,33,22,15,14,17
C4920,20,5,District-Deoghar,Urban,10-19,320,151,138,78,71,90,47,52,38
C4920,20,5,District-Deoghar,Urban,20-29,269,141,122,73,43,112,50,59,28
C4920,20,5,District-Deoghar,Urban,30-39,242,121,102,55,47,88,43,44,28
C4920,20,5,District-Deoghar,Urban,40-49,187,118,73,53,31,106,48,47,15
C4920,20,5,District-Deoghar,Urban,50-59,150,60,62,29,16,98,28,31,14
C4920,20,5,District-Deoghar,Urban,60-69,146,73,49,23,15,83,40,13,3
C4920,20,5,District-Deoghar,Urban,70-79,57,44,25,12,8,41,32,8,2
C4920,20,5,District-Deoghar,Urban,80-89,25,14,8,1,3,18,5,1,0
C4920,20,5,District-Deoghar,Urban,90+,3,3,1,1,1,3,4,0,0
C4920,20,5,District-Deoghar,Urban,Age Not Stated,0,0,1,0,0,0,0,0,0
C4920,20,6,District-Godda,Rural,0-4,1179,370,318,27,19,130,124,72,69
C4920,20,6,District-Godda,Rural,5-9,1381,452,428,149,137,219,149,133,122
C4920,20,6,District-Godda,Rural,10-19,2250,770,630,309,195,731,472,331,224
C4920,20,6,District-Godda,Rural,20-29,1569,547,526,163,122,598,289,244,153
C4920,20,6,District-Godda,Rural,30-39,1570,568,446,168,116,496,244,231,177
