Table Name (1),State Code (2),Distt.Code (3),Area Name  (4),Total/Rural/Urban (5),Age-group (6),In seeing Persons Males (11),In Hearing Persons Males (14),In Hearing Persons Females (15),In Speech Males (17),In Speech Females (18),In Movement Males (20),In Movement  Females (21)
C4920,28,9,District-Warangal,Rural,40-49,580,613,560,449,307,1606,783
C4920,28,9,District-Warangal,Rural,50-59,560,440,534,249,249,1471,895
C4920,28,9,District-Warangal,Rural,60-69,985,641,809,278,238,1957,1415
C4920,28,9,District-Warangal,Rural,70-79,822,505,463,144,96,1143,762
C4920,28,9,District-Warangal,Rural,80-89,307,179,209,48,22,321,318
C4920,28,9,District-Warangal,Rural,90+,49,39,57,3,4,82,90
C4920,28,9,District-Warangal,Rural,Age Not Stated,8,11,18,14,12,25,21
C4920,28,9,District-Warangal,Urban,0-4,45,43,35,8,7,31,17
C4920,28,9,District-Warangal,Urban,5-9,76,66,58,96,83,73,40
C4920,28,9,District-Warangal,Urban,10-19,171,175,195,256,235,292,201
C4920,28,9,District-Warangal,Urban,20-29,184,201,191,255,231,566,410
C4920,28,9,District-Warangal,Urban,30-39,221,205,174,257,192,524,290
C4920,28,9,District-Warangal,Urban,40-49,181,168,146,240,153,545,231
C4920,28,9,District-Warangal,Urban,50-59,152,109,102,146,87,451,208
C4920,28,9,District-Warangal,Urban,60-69,150,116,132,95,57,452,234
C4920,28,9,District-Warangal,Urban,70-79,89,81,67,35,22,182,132
C4920,28,9,District-Warangal,Urban,80-89,19,25,24,12,4,71,41
C4920,28,9,District-Warangal,Urban,90+,6,7,8,2,1,10,22
C4920,28,9,District-Warangal,Urban,Age Not Stated,4,16,5,12,2,14,14
C4920,28,10,District-Khammam,Rural,0-4,135,107,109,40,24,150,125
C4920,28,10,District-Khammam,Rural,5-9,250,205,187,291,253,311,184
C4920,28,10,District-Khammam,Rural,10-19,633,540,718,538,495,1042,799
C4920,28,10,District-Khammam,Rural,20-29,592,521,514,544,439,1913,1464
C4920,28,10,District-Khammam,Rural,30-39,563,499,488,473,340,1539,988
C4920,28,10,District-Khammam,Rural,40-49,685,463,388,376,268,1342,809
C4920,28,10,District-Khammam,Rural,50-59,799,362,406,243,196,1139,856
C4920,28,10,District-Khammam,Rural,60-69,1458,513,610,220,183,1452,1098
C4920,28,10,District-Khammam,Rural,70-79,1077,366,352,100,61,800,629
C4920,28,10,District-Khammam,Rural,80-89,355,158,174,39,14,292,286
C4920,28,10,District-Khammam,Rural,90+,66,35,57,9,8,45,95
C4920,28,10,District-Khammam,Rural,Age Not Stated,32,19,14,18,12,49,37
C4920,28,10,District-Khammam,Urban,0-4,42,42,32,12,5,37,17
C4920,28,10,District-Khammam,Urban,5-9,53,54,43,65,52,56,38
C4920,28,10,District-Khammam,Urban,10-19,138,158,134,122,122,200,160
C4920,28,10,District-Khammam,Urban,20-29,146,131,175,163,159,507,414
C4920,28,10,District-Khammam,Urban,30-39,163,118,122,161,128,453,287
C4920,28,10,District-Khammam,Urban,40-49,125,126,128,146,114,395,226
C4920,28,10,District-Khammam,Urban,50-59,117,80,99,92,68,407,178
C4920,28,10,District-Khammam,Urban,60-69,141,86,94,54,40,320,184
C4920,28,10,District-Khammam,Urban,70-79,82,55,62,33,24,145,100
C4920,28,10,District-Khammam,Urban,80-89,39,24,24,5,9,44,49
C4920,28,10,District-Khammam,Urban,90+,9,3,9,4,4,13,25
C4920,28,10,District-Khammam,Urban,Age Not Stated,1,3,3,3,1,9,4
C4920,28,11,District-Srikakulam,Rural,0-4,90,86,105,38,42,163,99
C4920,28,11,District-Srikakulam,Rural,5-9,201,180,199,262,198,309,207
C4920,28,11,District-Srikakulam,Rural,10-19,617,486,411,507,428,978,708
C4920,28,11,District-Srikakulam,Rural,20-29,530,400,422,419,406,1751,1130
C4920,28,11,District-Srikakulam,Rural,30-39,568,423,460,335,312,1603,899
C4920,28,11,District-Srikakulam,Rural,40-49,769,535,495,297,224,1751,855
C4920,28,11,District-Srikakulam,Rural,50-59,760,465,550,158,140,1571,939
C4920,28,11,District-Srikakulam,Rural,60-69,1415,799,823,130,155,1834,1208
C4920,28,11,District-Srikakulam,Rural,70-79,935,443,447,58,36,857,622
C4920,28,11,District-Srikakulam,Rural,80-89,259,132,127,8,8,147,169
C4920,28,11,District-Srikakulam,Rural,90+,39,27,17,2,3,24,28
C4920,28,11,District-Srikakulam,Rural,Age Not Stated,11,4,7,10,3,12,1
C4920,28,11,District-Srikakulam,Urban,0-4,28,19,11,5,3,21,14
C4920,28,11,District-Srikakulam,Urban,5-9,40,32,21,41,34,50,43
C4920,28,11,District-Srikakulam,Urban,10-19,113,66,62,87,64,186,131
C4920,28,11,District-Srikakulam,Urban,20-29,136,69,73,77,82,293,246
