Table Name,State Code,Distt.Code,Area Name ,Total/Rural/Urban,Age-group,Total number of disabled persons Persons,Total number of disabled persons Males,Total number of disabled persons females,In seeing Persons Persons ,In seeing Persons Males ,In seeing Persons Females ,In Hearing Persons Persons ,In Hearing Persons Males ,In Hearing Persons Females 
C4920,10,16,District-Siwan,Rural,50-59,490,490,438,139,103,663,266,173,91
C4920,10,16,District-Siwan,Rural,60-69,683,593,491,129,120,946,469,127,77
C4920,10,16,District-Siwan,Rural,70-79,405,353,245,64,33,556,290,54,32
C4920,10,16,District-Siwan,Rural,80-89,127,128,76,10,7,173,108,15,13
C4920,10,16,District-Siwan,Rural,90+,36,31,37,11,11,39,25,4,4
C4920,10,16,District-Siwan,Rural,Age Not Stated,6,18,18,3,3,3,1,2,1
C4920,10,16,District-Siwan,Urban,0-4,29,42,33,4,4,5,1,2,2
C4920,10,16,District-Siwan,Urban,5-9,53,56,47,20,11,13,9,9,2
C4920,10,16,District-Siwan,Urban,10-19,87,86,80,41,25,62,36,37,23
C4920,10,16,District-Siwan,Urban,20-29,81,77,60,33,20,61,10,39,17
C4920,10,16,District-Siwan,Urban,30-39,53,70,58,25,21,46,18,18,10
C4920,10,16,District-Siwan,Urban,40-49,43,64,38,14,9,43,13,15,9
C4920,10,16,District-Siwan,Urban,50-59,39,36,38,17,8,31,10,6,2
C4920,10,16,District-Siwan,Urban,60-69,38,29,21,7,1,25,14,10,0
C4920,10,16,District-Siwan,Urban,70-79,15,15,9,4,5,16,6,0,1
C4920,10,16,District-Siwan,Urban,80-89,8,6,2,4,1,0,6,0,0
C4920,10,16,District-Siwan,Urban,90+,1,0,2,0,0,3,3,0,0
C4920,10,16,District-Siwan,Urban,Age Not Stated,0,3,3,0,1,0,0,1,0
C4920,10,17,District-Saran,Rural,0-4,823,741,711,68,59,263,204,91,66
C4920,10,17,District-Saran,Rural,5-9,1100,1010,951,489,347,517,312,244,151
C4920,10,17,District-Saran,Rural,10-19,1978,1865,1572,856,621,1778,948,727,403
C4920,10,17,District-Saran,Rural,20-29,1255,1178,1002,537,341,1512,577,639,239
C4920,10,17,District-Saran,Rural,30-39,1068,1110,960,469,307,1288,488,631,216
C4920,10,17,District-Saran,Rural,40-49,1101,931,722,360,257,1112,404,496,161
C4920,10,17,District-Saran,Rural,50-59,962,722,662,228,167,1023,495,208,137
C4920,10,17,District-Saran,Rural,60-69,1439,975,842,194,162,1524,994,176,117
C4920,10,17,District-Saran,Rural,70-79,974,634,490,99,66,1180,729,78,57
C4920,10,17,District-Saran,Rural,80-89,262,230,158,25,21,379,273,23,21
C4920,10,17,District-Saran,Rural,90+,61,48,53,15,8,83,80,5,5
C4920,10,17,District-Saran,Rural,Age Not Stated,11,22,13,6,3,7,5,2,3
C4920,10,17,District-Saran,Urban,0-4,90,72,64,5,2,23,11,7,4
C4920,10,17,District-Saran,Urban,5-9,122,95,72,38,36,33,22,28,19
C4920,10,17,District-Saran,Urban,10-19,228,190,178,88,64,123,73,62,48
C4920,10,17,District-Saran,Urban,20-29,163,128,107,74,53,118,60,72,33
C4920,10,17,District-Saran,Urban,30-39,148,125,107,63,39,96,35,51,22
C4920,10,17,District-Saran,Urban,40-49,130,107,76,55,35,83,31,61,10
C4920,10,17,District-Saran,Urban,50-59,105,57,57,43,23,71,33,21,13
C4920,10,17,District-Saran,Urban,60-69,114,75,65,25,19,103,56,9,8
C4920,10,17,District-Saran,Urban,70-79,66,51,33,12,5,67,45,8,3
C4920,10,17,District-Saran,Urban,80-89,11,16,12,3,1,23,19,1,2
C4920,10,17,District-Saran,Urban,90+,1,4,4,1,1,4,3,0,1
C4920,10,17,District-Saran,Urban,Age Not Stated,4,3,2,0,0,1,0,0,0
C4920,10,18,District-Vaishali,Rural,0-4,1873,1433,1364,98,57,252,162,131,94
C4920,10,18,District-Vaishali,Rural,5-9,2130,1668,1496,448,331,353,236,202,132
C4920,10,18,District-Vaishali,Rural,10-19,3596,2947,2393,868,589,1334,670,674,406
C4920,10,18,District-Vaishali,Rural,20-29,2411,2108,1753,631,457,1280,483,559,240
C4920,10,18,District-Vaishali,Rural,30-39,2168,1894,1456,532,362,955,367,492,257
C4920,10,18,District-Vaishali,Rural,40-49,1651,1475,926,389,248,754,276,375,158
C4920,10,18,District-Vaishali,Rural,50-59,1038,920,738,238,170,544,229,167,104
C4920,10,18,District-Vaishali,Rural,60-69,1241,1062,788,218,149,759,410,116,94
C4920,10,18,District-Vaishali,Rural,70-79,624,506,314,107,58,471,224,49,33
C4920,10,18,District-Vaishali,Rural,80-89,197,131,124,24,28,143,103,12,13
C4920,10,18,District-Vaishali,Rural,90+,79,73,50,9,7,45,38,7,2
C4920,10,18,District-Vaishali,Rural,Age Not Stated,394,406,281,73,47,142,62,42,29
C4920,10,18,District-Vaishali,Urban,0-4,188,99,80,8,3,17,12,7,5
C4920,10,18,District-Vaishali,Urban,5-9,215,119,96,33,21,24,14,18,8
C4920,10,18,District-Vaishali,Urban,10-19,410,241,187,59,73,101,50,41,32
C4920,10,18,District-Vaishali,Urban,20-29,277,204,162,49,44,86,40,40,14
C4920,10,18,District-Vaishali,Urban,30-39,237,155,141,42,39,66,32,33,18
C4920,10,18,District-Vaishali,Urban,40-49,218,125,96,37,27,55,18,19,8
C4920,10,18,District-Vaishali,Urban,50-59,149,75,81,31,18,34,11,13,13
C4920,10,18,District-Vaishali,Urban,60-69,156,70,54,22,12,60,32,8,1
C4920,10,18,District-Vaishali,Urban,70-79,81,36,27,13,2,32,22,3,5
C4920,10,18,District-Vaishali,Urban,80-89,23,11,10,2,1,7,8,2,1
C4920,10,18,District-Vaishali,Urban,90+,7,9,3,1,1,3,2,0,1
C4920,10,18,District-Vaishali,Urban,Age Not Stated,39,27,27,5,2,13,6,2,3
C4920,10,19,District-Samastipur,Rural,0-4,491,1071,924,85,69,400,298,64,52
C4920,10,19,District-Samastipur,Rural,5-9,721,1182,1042,481,355,716,412,226,144
C4920,10,19,District-Samastipur,Rural,10-19,1306,2208,1738,864,620,2369,1242,820,470
C4920,10,19,District-Samastipur,Rural,20-29,903,1545,1210,605,398,2168,908,773,314
C4920,10,19,District-Samastipur,Rural,30-39,871,1448,1081,501,319,1659,656,774,304
C4920,10,19,District-Samastipur,Rural,40-49,719,1102,801,330,243,1314,540,550,210
C4920,10,19,District-Samastipur,Rural,50-59,647,786,600,178,184,1093,500,216,119
C4920,10,19,District-Samastipur,Rural,60-69,836,767,596,154,136,1399,722,159,102
C4920,10,19,District-Samastipur,Rural,70-79,461,373,278,59,54,684,388,65,38
C4920,10,19,District-Samastipur,Rural,80-89,134,112,78,22,11,176,140,15,9
C4920,10,19,District-Samastipur,Rural,90+,38,23,38,6,6,51,64,8,4
C4920,10,19,District-Samastipur,Rural,Age Not Stated,26,29,23,11,4,24,8,6,3
