Table Name,State Code,Distt.Code,Area Name ,Total/Rural/Urban,Age-group,Total number of disabled persons Persons,Total number of disabled persons Males,Total number of disabled persons females,In seeing Persons Persons ,In seeing Persons Males ,In seeing Persons Females ,In Hearing Persons Persons ,In Hearing Persons Males ,In Hearing Persons Females 
C4920,10,2,District-Purba Champaran,Rural,40-49,1599,1381,1088,419,317,900,351,293,183
C4920,10,2,District-Purba Champaran,Rural,50-59,1209,910,785,334,252,750,381,177,126
C4920,10,2,District-Purba Champaran,Rural,60-69,1282,931,719,265,196,909,488,139,95
C4920,10,2,District-Purba Champaran,Rural,70-79,560,411,281,85,54,472,237,56,27
C4920,10,2,District-Purba Champaran,Rural,80-89,145,100,86,12,13,109,74,16,8
C4920,10,2,District-Purba Champaran,Rural,90+,42,37,30,11,6,24,20,4,2
C4920,10,2,District-Purba Champaran,Rural,Age Not Stated,22,54,29,21,14,18,3,5,0
C4920,10,2,District-Purba Champaran,Urban,0-4,233,126,173,12,8,28,22,14,14
C4920,10,2,District-Purba Champaran,Urban,5-9,330,186,191,49,31,45,29,25,18
C4920,10,2,District-Purba Champaran,Urban,10-19,513,334,284,88,57,131,74,96,47
C4920,10,2,District-Purba Champaran,Urban,20-29,320,221,203,51,34,118,64,73,24
C4920,10,2,District-Purba Champaran,Urban,30-39,271,215,187,62,44,106,43,36,16
C4920,10,2,District-Purba Champaran,Urban,40-49,230,169,145,40,25,100,49,38,14
C4920,10,2,District-Purba Champaran,Urban,50-59,147,105,89,26,18,100,49,17,10
C4920,10,2,District-Purba Champaran,Urban,60-69,112,95,80,25,19,112,48,10,6
C4920,10,2,District-Purba Champaran,Urban,70-79,68,39,24,4,1,55,26,2,2
C4920,10,2,District-Purba Champaran,Urban,80-89,12,15,8,2,2,10,10,2,0
C4920,10,2,District-Purba Champaran,Urban,90+,3,8,6,0,3,1,3,1,0
C4920,10,2,District-Purba Champaran,Urban,Age Not Stated,2,16,11,0,2,2,1,0,0
C4920,10,3,District-Sheohar,Rural,0-4,106,219,221,10,14,62,53,22,18
C4920,10,3,District-Sheohar,Rural,5-9,140,390,314,105,61,86,53,50,28
C4920,10,3,District-Sheohar,Rural,10-19,248,611,412,120,91,264,124,98,63
C4920,10,3,District-Sheohar,Rural,20-29,145,340,319,108,57,222,61,85,15
C4920,10,3,District-Sheohar,Rural,30-39,125,348,295,79,57,157,79,80,27
C4920,10,3,District-Sheohar,Rural,40-49,113,251,205,47,41,156,69,53,41
C4920,10,3,District-Sheohar,Rural,50-59,118,182,172,35,31,182,66,35,22
C4920,10,3,District-Sheohar,Rural,60-69,154,218,180,41,36,246,130,32,27
C4920,10,3,District-Sheohar,Rural,70-79,80,116,70,13,13,106,50,11,6
C4920,10,3,District-Sheohar,Rural,80-89,25,29,14,3,5,41,13,0,1
C4920,10,3,District-Sheohar,Rural,90+,10,6,2,0,2,10,2,0,0
C4920,10,3,District-Sheohar,Rural,Age Not Stated,3,3,5,2,1,4,2,1,0
C4920,10,3,District-Sheohar,Urban,0-4,7,14,17,1,1,4,5,1,2
C4920,10,3,District-Sheohar,Urban,5-9,15,13,17,5,6,3,5,2,1
C4920,10,3,District-Sheohar,Urban,10-19,20,17,22,5,2,12,5,9,0
C4920,10,3,District-Sheohar,Urban,20-29,12,15,13,7,4,11,2,5,3
C4920,10,3,District-Sheohar,Urban,30-39,21,17,14,2,2,11,3,5,1
C4920,10,3,District-Sheohar,Urban,40-49,23,15,11,3,0,13,2,1,1
C4920,10,3,District-Sheohar,Urban,50-59,13,11,13,5,2,14,3,1,2
C4920,10,3,District-Sheohar,Urban,60-69,13,12,12,4,1,10,4,3,0
C4920,10,3,District-Sheohar,Urban,70-79,3,3,6,0,0,4,3,0,0
C4920,10,3,District-Sheohar,Urban,80-89,0,2,0,0,0,1,3,1,0
C4920,10,3,District-Sheohar,Urban,90+,1,1,1,0,0,0,0,0,0
C4920,10,3,District-Sheohar,Urban,Age Not Stated,0,0,1,0,0,0,0,0,0
C4920,10,4,District-Sitamarhi,Rural,0-4,1375,1406,1307,133,107,283,258,86,80
C4920,10,4,District-Sitamarhi,Rural,5-9,1771,1669,1590,726,576,450,303,145,127
C4920,10,4,District-Sitamarhi,Rural,10-19,2732,2731,2249,1216,845,1210,552,481,256
C4920,10,4,District-Sitamarhi,Rural,20-29,1746,1890,1595,911,637,985,332,424,190
C4920,10,4,District-Sitamarhi,Rural,30-39,1691,1799,1550,890,555,852,322,397,172
C4920,10,4,District-Sitamarhi,Rural,40-49,1405,1384,1095,597,401,806,332,291,146
C4920,10,4,District-Sitamarhi,Rural,50-59,1050,964,834,350,255,763,350,162,93
C4920,10,4,District-Sitamarhi,Rural,60-69,1158,1012,768,315,219,1048,514,98,91
C4920,10,4,District-Sitamarhi,Rural,70-79,569,413,323,103,57,605,326,39,29
C4920,10,4,District-Sitamarhi,Rural,80-89,141,107,86,23,16,125,102,10,22
C4920,10,4,District-Sitamarhi,Rural,90+,54,33,28,16,9,41,37,4,2
C4920,10,4,District-Sitamarhi,Rural,Age Not Stated,173,187,164,61,29,33,25,22,6
C4920,10,4,District-Sitamarhi,Urban,0-4,50,55,39,2,2,14,9,5,2
C4920,10,4,District-Sitamarhi,Urban,5-9,69,57,65,27,23,21,9,10,6
C4920,10,4,District-Sitamarhi,Urban,10-19,107,151,113,48,39,62,35,35,12
C4920,10,4,District-Sitamarhi,Urban,20-29,93,94,82,38,26,47,31,25,10
C4920,10,4,District-Sitamarhi,Urban,30-39,75,84,79,38,21,50,18,22,10
C4920,10,4,District-Sitamarhi,Urban,40-49,67,62,54,27,22,41,11,26,12
C4920,10,4,District-Sitamarhi,Urban,50-59,48,39,48,20,12,36,12,5,3
C4920,10,4,District-Sitamarhi,Urban,60-69,39,44,27,14,7,27,16,2,4
C4920,10,4,District-Sitamarhi,Urban,70-79,16,25,16,4,1,12,17,3,2
C4920,10,4,District-Sitamarhi,Urban,80-89,7,2,3,0,0,5,4,0,1
C4920,10,4,District-Sitamarhi,Urban,90+,3,6,1,1,1,2,3,0,1
C4920,10,4,District-Sitamarhi,Urban,Age Not Stated,17,20,15,8,4,5,4,0,0
C4920,10,5,District-Madhubani,Rural,0-4,436,731,717,76,50,338,272,108,87
C4920,10,5,District-Madhubani,Rural,5-9,626,1014,975,515,386,570,383,249,170
C4920,10,5,District-Madhubani,Rural,10-19,1201,1707,1480,908,638,1716,945,721,386
C4920,10,5,District-Madhubani,Rural,20-29,849,1165,1042,541,403,1286,514,557,307
C4920,10,5,District-Madhubani,Rural,30-39,838,1142,1024,476,366,1082,504,555,248
C4920,10,5,District-Madhubani,Rural,40-49,737,1024,794,374,263,1105,472,448,203
C4920,10,5,District-Madhubani,Rural,50-59,638,741,622,222,177,898,472,236,138
C4920,10,5,District-Madhubani,Rural,60-69,906,795,741,196,165,1334,763,181,137
C4920,10,5,District-Madhubani,Rural,70-79,532,390,340,81,55,633,393,82,44
C4920,10,5,District-Madhubani,Rural,80-89,113,149,103,14,19,181,155,14,11
C4920,10,5,District-Madhubani,Rural,90+,38,36,32,7,10,46,41,4,4
C4920,10,5,District-Madhubani,Rural,Age Not Stated,28,45,32,11,4,12,11,4,2
C4920,10,5,District-Madhubani,Urban,0-4,27,49,40,1,2,8,14,4,2
C4920,10,5,District-Madhubani,Urban,5-9,17,63,60,17,11,22,22,10,7
C4920,10,5,District-Madhubani,Urban,10-19,48,113,122,29,15,69,45,15,11
C4920,10,5,District-Madhubani,Urban,20-29,33,73,71,17,13,57,24,25,10
C4920,10,5,District-Madhubani,Urban,30-39,37,73,76,16,10,46,23,23,9
C4920,10,5,District-Madhubani,Urban,40-49,32,64,60,7,9,36,22,19,7
C4920,10,5,District-Madhubani,Urban,50-59,24,53,32,6,5,44,10,13,5
C4920,10,5,District-Madhubani,Urban,60-69,34,39,28,2,5,39,22,7,8
C4920,10,5,District-Madhubani,Urban,70-79,14,25,15,1,1,18,16,6,3
C4920,10,5,District-Madhubani,Urban,80-89,7,3,6,0,0,10,3,1,2
C4920,10,5,District-Madhubani,Urban,90+,0,0,2,0,0,1,1,0,0
C4920,10,5,District-Madhubani,Urban,Age Not Stated,0,2,0,0,0,2,0,0,0
C4920,10,6,District-Supaul,Rural,0-4,374,416,335,48,35,205,169,54,43
C4920,10,6,District-Supaul,Rural,5-9,443,509,476,277,213,324,230,121,92
C4920,10,6,District-Supaul,Rural,10-19,693,829,669,480,305,918,548,326,180
C4920,10,6,District-Supaul,Rural,20-29,457,615,538,282,207,663,356,258,129
C4920,10,6,District-Supaul,Rural,30-39,510,614,466,223,172,626,289,262,128
C4920,10,6,District-Supaul,Rural,40-49,410,506,385,170,119,605,236,182,104
C4920,10,6,District-Supaul,Rural,50-59,320,356,297,113,85,473,244,97,62
C4920,10,6,District-Supaul,Rural,60-69,382,377,328,103,69,577,301,88,54
C4920,10,6,District-Supaul,Rural,70-79,208,180,149,27,20,286,168,33,28
C4920,10,6,District-Supaul,Rural,80-89,64,60,43,8,11,85,75,8,4
C4920,10,6,District-Supaul,Rural,90+,15,25,18,3,4,31,18,5,0
C4920,10,6,District-Supaul,Rural,Age Not Stated,6,15,8,2,1,3,2,1,1
C4920,10,6,District-Supaul,Urban,0-4,10,12,12,3,2,7,5,5,2
C4920,10,6,District-Supaul,Urban,5-9,13,15,9,10,8,9,9,11,7
C4920,10,6,District-Supaul,Urban,10-19,30,30,23,23,19,37,21,21,14
C4920,10,6,District-Supaul,Urban,20-29,28,20,14,15,12,21,12,14,6
C4920,10,6,District-Supaul,Urban,30-39,17,19,13,11,11,17,7,10,4
C4920,10,6,District-Supaul,Urban,40-49,8,18,5,6,1,23,11,7,5
C4920,10,6,District-Supaul,Urban,50-59,12,13,14,4,3,22,10,6,4
C4920,10,6,District-Supaul,Urban,60-69,16,11,7,6,3,22,11,4,7
C4920,10,6,District-Supaul,Urban,70-79,10,8,6,2,1,13,10,1,2
C4920,10,6,District-Supaul,Urban,80-89,3,1,3,1,1,9,2,1,1
C4920,10,6,District-Supaul,Urban,90+,1,0,0,0,0,1,4,0,0
C4920,10,6,District-Supaul,Urban,Age Not Stated,0,1,0,0,0,0,1,0,0
C4920,10,7,District-Araria,Rural,0-4,280,474,476,52,39,245,225,84,71
C4920,10,7,District-Araria,Rural,5-9,388,616,646,353,286,451,320,153,94
C4920,10,7,District-Araria,Rural,10-19,655,1043,995,579,447,1183,752,347,314
C4920,10,7,District-Araria,Rural,20-29,390,720,636,357,320,855,396,283,178
C4920,10,7,District-Araria,Rural,30-39,397,678,550,335,267,595,271,228,156
C4920,10,7,District-Araria,Rural,40-49,358,522,428,192,166,506,199,148,94
C4920,10,7,District-Araria,Rural,50-59,258,434,297,122,95,400,209,96,68
C4920,10,7,District-Araria,Rural,60-69,332,368,276,89,77,449,255,67,69
C4920,10,7,District-Araria,Rural,70-79,185,165,155,22,23,234,144,23,26
C4920,10,7,District-Araria,Rural,80-89,53,52,34,12,7,59,48,9,5
C4920,10,7,District-Araria,Rural,90+,18,19,7,6,4,25,18,4,1
C4920,10,7,District-Araria,Rural,Age Not Stated,10,11,5,1,4,6,0,0,0
C4920,10,7,District-Araria,Urban,0-4,12,15,21,1,2,7,6,1,1
C4920,10,7,District-Araria,Urban,5-9,18,30,36,19,13,21,13,10,6
C4920,10,7,District-Araria,Urban,10-19,27,56,63,34,26,55,34,35,23
C4920,10,7,District-Araria,Urban,20-29,19,34,36,18,15,40,27,29,12
C4920,10,7,District-Araria,Urban,30-39,20,47,40,28,15,48,18,21,12
C4920,10,7,District-Araria,Urban,40-49,19,41,33,15,11,28,15,13,9
C4920,10,7,District-Araria,Urban,50-59,7,30,18,13,14,22,8,6,5
C4920,10,7,District-Araria,Urban,60-69,18,37,25,6,4,29,20,5,4
C4920,10,7,District-Araria,Urban,70-79,6,12,10,1,2,14,16,1,2
C4920,10,7,District-Araria,Urban,80-89,4,3,3,0,0,6,10,1,0
C4920,10,7,District-Araria,Urban,90+,0,2,0,0,0,2,0,0,0
C4920,10,7,District-Araria,Urban,Age Not Stated,0,0,0,2,0,0,0,0,0
C4920,10,8,District-Kishanganj,Rural,0-4,183,254,299,31,28,114,86,41,50
C4920,10,8,District-Kishanganj,Rural,5-9,229,429,382,161,133,206,143,106,88
C4920,10,8,District-Kishanganj,Rural,10-19,355,625,624,298,213,472,346,255,188
C4920,10,8,District-Kishanganj,Rural,20-29,225,362,341,167,151,285,136,159,146
C4920,10,8,District-Kishanganj,Rural,30-39,199,339,330,142,127,234,98,136,130
C4920,10,8,District-Kishanganj,Rural,40-49,204,371,301,95,92,230,104,116,96
C4920,10,8,District-Kishanganj,Rural,50-59,143,240,183,58,47,211,104,69,62
C4920,10,8,District-Kishanganj,Rural,60-69,176,217,236,43,38,235,146,55,48
C4920,10,8,District-Kishanganj,Rural,70-79,93,115,95,18,10,108,84,8,15
C4920,10,8,District-Kishanganj,Rural,80-89,26,30,38,4,4,29,33,2,3
C4920,10,8,District-Kishanganj,Rural,90+,13,14,16,2,4,12,10,2,1
C4920,10,8,District-Kishanganj,Rural,Age Not Stated,0,4,1,1,0,2,0,0,1
C4920,10,8,District-Kishanganj,Urban,0-4,3,26,10,1,0,13,7,3,3
C4920,10,8,District-Kishanganj,Urban,5-9,12,23,22,19,19,21,13,6,6
C4920,10,8,District-Kishanganj,Urban,10-19,24,38,51,40,27,44,28,31,20
C4920,10,8,District-Kishanganj,Urban,20-29,18,46,26,13,11,45,29,31,15
C4920,10,8,District-Kishanganj,Urban,30-39,20,31,23,12,17,43,19,30,12
C4920,10,8,District-Kishanganj,Urban,40-49,24,29,18,21,7,46,25,17,13
C4920,10,8,District-Kishanganj,Urban,50-59,41,24,24,8,0,40,17,17,4
C4920,10,8,District-Kishanganj,Urban,60-69,31,31,18,4,4,27,18,11,2
C4920,10,8,District-Kishanganj,Urban,70-79,17,8,8,1,2,16,5,1,0
C4920,10,8,District-Kishanganj,Urban,80-89,2,3,8,0,0,3,0,0,0
C4920,10,8,District-Kishanganj,Urban,90+,0,0,3,0,0,1,1,0,0
C4920,10,8,District-Kishanganj,Urban,Age Not Stated,1,0,0,0,0,0,0,0,0
C4920,10,9,District-Purnia,Rural,0-4,1437,1579,1524,110,102,231,179,93,95
C4920,10,9,District-Purnia,Rural,5-9,1749,1975,1812,672,626,369,266,175,141
C4920,10,9,District-Purnia,Rural,10-19,2630,2994,2611,1077,945,1107,726,430,281
C4920,10,9,District-Purnia,Rural,20-29,1608,1966,1763,836,707,712,418,271,234
C4920,10,9,District-Purnia,Rural,30-39,1560,1956,1519,813,613,592,245,297,205
C4920,10,9,District-Purnia,Rural,40-49,1237,1516,1076,545,417,564,195,204,124
C4920,10,9,District-Purnia,Rural,50-59,826,984,735,329,282,432,210,130,93
C4920,10,9,District-Purnia,Rural,60-69,827,816,687,231,216,525,319,67,61
C4920,10,9,District-Purnia,Rural,70-79,342,340,215,96,61,308,178,41,27
C4920,10,9,District-Purnia,Rural,80-89,99,107,62,26,17,72,48,9,8
C4920,10,9,District-Purnia,Rural,90+,51,33,32,14,11,20,17,2,3
C4920,10,9,District-Purnia,Rural,Age Not Stated,184,281,268,74,76,43,16,25,18
C4920,10,9,District-Purnia,Urban,0-4,139,183,158,8,15,17,10,10,6
C4920,10,9,District-Purnia,Urban,5-9,158,198,198,51,51,39,24,14,16
C4920,10,9,District-Purnia,Urban,10-19,327,381,349,129,105,130,73,49,49
C4920,10,9,District-Purnia,Urban,20-29,235,291,269,115,96,115,70,49,32
C4920,10,9,District-Purnia,Urban,30-39,184,282,241,95,75,83,36,53,30
C4920,10,9,District-Purnia,Urban,40-49,190,239,158,88,60,95,31,43,18
C4920,10,9,District-Purnia,Urban,50-59,129,145,128,38,41,72,25,16,5
C4920,10,9,District-Purnia,Urban,60-69,81,112,72,43,29,64,29,13,8
C4920,10,9,District-Purnia,Urban,70-79,45,53,33,20,9,25,16,2,4
C4920,10,9,District-Purnia,Urban,80-89,16,9,6,1,2,5,10,1,1
C4920,10,9,District-Purnia,Urban,90+,4,1,12,1,1,0,2,1,1
C4920,10,9,District-Purnia,Urban,Age Not Stated,42,43,36,15,11,10,2,1,1
C4920,10,10,District-Katihar,Rural,0-4,195,356,407,58,51,218,156,59,55
C4920,10,10,District-Katihar,Rural,5-9,265,489,508,412,294,376,259,159,129
C4920,10,10,District-Katihar,Rural,10-19,603,836,799,631,509,1163,721,416,327
C4920,10,10,District-Katihar,Rural,20-29,348,595,495,403,330,798,362,332,218
C4920,10,10,District-Katihar,Rural,30-39,373,577,483,351,294,649,280,287,214
C4920,10,10,District-Katihar,Rural,40-49,429,502,417,289,176,565,242,225,146
C4920,10,10,District-Katihar,Rural,50-59,411,339,295,153,114,551,220,137,87
C4920,10,10,District-Katihar,Rural,60-69,433,357,318,104,93,593,325,81,65
C4920,10,10,District-Katihar,Rural,70-79,246,176,160,28,33,250,159,23,19
C4920,10,10,District-Katihar,Rural,80-89,70,68,49,13,12,84,77,7,5
C4920,10,10,District-Katihar,Rural,90+,33,21,17,4,1,25,21,3,3
C4920,10,10,District-Katihar,Rural,Age Not Stated,3,1,7,4,6,5,0,0,0
C4920,10,10,District-Katihar,Urban,0-4,22,25,29,5,3,22,10,4,5
C4920,10,10,District-Katihar,Urban,5-9,25,42,27,21,11,31,21,19,12
C4920,10,10,District-Katihar,Urban,10-19,60,76,87,51,40,85,54,47,30
C4920,10,10,District-Katihar,Urban,20-29,44,71,69,35,47,98,37,53,27
C4920,10,10,District-Katihar,Urban,30-39,48,77,44,38,27,71,39,45,20
C4920,10,10,District-Katihar,Urban,40-49,50,55,38,14,20,68,29,36,23
C4920,10,10,District-Katihar,Urban,50-59,56,58,41,16,16,51,31,19,11
C4920,10,10,District-Katihar,Urban,60-69,42,42,32,17,10,64,27,11,4
C4920,10,10,District-Katihar,Urban,70-79,19,24,16,3,3,34,12,3,3
C4920,10,10,District-Katihar,Urban,80-89,6,8,10,2,1,10,4,2,1
C4920,10,10,District-Katihar,Urban,90+,1,1,1,1,0,2,2,0,0
C4920,10,10,District-Katihar,Urban,Age Not Stated,0,0,0,0,0,0,0,0,3
C4920,10,11,District-Madhepura,Rural,0-4,176,343,309,27,26,164,132,31,29
C4920,10,11,District-Madhepura,Rural,5-9,239,462,452,211,191,287,214,70,56
C4920,10,11,District-Madhepura,Rural,10-19,445,712,591,403,228,810,479,225,121
C4920,10,11,District-Madhepura,Rural,20-29,294,468,473,247,164,554,261,182,83
C4920,10,11,District-Madhepura,Rural,30-39,351,479,390,188,156,499,230,145,58
C4920,10,11,District-Madhepura,Rural,40-49,313,399,306,141,112,479,212,107,64
C4920,10,11,District-Madhepura,Rural,50-59,266,310,272,112,71,397,171,71,30
C4920,10,11,District-Madhepura,Rural,60-69,313,311,279,82,59,432,249,44,31
C4920,10,11,District-Madhepura,Rural,70-79,181,141,111,31,12,201,93,15,9
C4920,10,11,District-Madhepura,Rural,80-89,36,48,45,3,5,44,50,5,3
C4920,10,11,District-Madhepura,Rural,90+,15,18,18,6,2,23,13,2,1
C4920,10,11,District-Madhepura,Rural,Age Not Stated,12,9,9,3,7,4,3,2,0
C4920,10,11,District-Madhepura,Urban,0-4,5,8,6,3,4,7,4,1,0
C4920,10,11,District-Madhepura,Urban,5-9,6,4,10,13,11,10,6,3,1
C4920,10,11,District-Madhepura,Urban,10-19,12,18,15,24,12,37,15,8,2
C4920,10,11,District-Madhepura,Urban,20-29,9,10,14,21,13,19,9,8,3
C4920,10,11,District-Madhepura,Urban,30-39,7,25,16,17,10,16,11,10,3
C4920,10,11,District-Madhepura,Urban,40-49,7,10,11,18,5,28,6,4,2
C4920,10,11,District-Madhepura,Urban,50-59,8,19,4,4,5,24,4,5,2
C4920,10,11,District-Madhepura,Urban,60-69,4,8,7,9,3,15,5,2,0
C4920,10,11,District-Madhepura,Urban,70-79,0,3,0,0,0,4,5,0,0
C4920,10,11,District-Madhepura,Urban,80-89,1,1,0,1,0,1,1,0,0
C4920,10,11,District-Madhepura,Urban,90+,0,0,0,0,0,0,4,0,1
C4920,10,11,District-Madhepura,Urban,Age Not Stated,0,0,1,1,0,0,0,0,0
C4920,10,12,District-Saharsa,Rural,0-4,255,222,182,18,21,117,83,30,33
C4920,10,12,District-Saharsa,Rural,5-9,288,275,274,164,113,211,162,79,56
C4920,10,12,District-Saharsa,Rural,10-19,505,464,339,264,188,653,346,192,92
C4920,10,12,District-Saharsa,Rural,20-29,324,322,275,194,138,440,207,143,85
C4920,10,12,District-Saharsa,Rural,30-39,334,349,244,147,96,397,166,135,66
C4920,10,12,District-Saharsa,Rural,40-49,284,276,179,116,73,384,135,111,50
C4920,10,12,District-Saharsa,Rural,50-59,231,177,162,60,47,329,121,63,26
C4920,10,12,District-Saharsa,Rural,60-69,297,211,208,58,45,370,180,32,27
C4920,10,12,District-Saharsa,Rural,70-79,152,160,113,21,9,194,131,9,9
C4920,10,12,District-Saharsa,Rural,80-89,55,40,44,5,6,65,71,3,2
C4920,10,12,District-Saharsa,Rural,90+,23,17,13,2,4,17,13,2,3
C4920,10,12,District-Saharsa,Rural,Age Not Stated,3,4,3,2,0,2,0,0,0
C4920,10,12,District-Saharsa,Urban,0-4,60,50,44,2,2,11,12,2,1
C4920,10,12,District-Saharsa,Urban,5-9,55,55,57,20,24,25,15,9,6
C4920,10,12,District-Saharsa,Urban,10-19,106,125,125,31,31,68,37,30,19
C4920,10,12,District-Saharsa,Urban,20-29,62,114,123,38,31,48,26,25,11
C4920,10,12,District-Saharsa,Urban,30-39,70,94,79,23,15,50,17,25,14
C4920,10,12,District-Saharsa,Urban,40-49,60,76,63,17,14,51,11,22,6
C4920,10,12,District-Saharsa,Urban,50-59,48,56,42,16,7,33,10,11,5
C4920,10,12,District-Saharsa,Urban,60-69,39,50,26,9,4,27,10,4,4
C4920,10,12,District-Saharsa,Urban,70-79,20,20,17,3,1,10,12,1,0
C4920,10,12,District-Saharsa,Urban,80-89,1,12,4,1,0,4,3,0,1
C4920,10,12,District-Saharsa,Urban,90+,2,1,2,0,0,1,1,0,0
C4920,10,12,District-Saharsa,Urban,Age Not Stated,0,1,2,0,0,0,2,0,0
C4920,10,13,District-Darbhanga,Rural,0-4,476,685,593,69,57,313,258,71,45
C4920,10,13,District-Darbhanga,Rural,5-9,592,862,720,438,320,497,381,161,108
C4920,10,13,District-Darbhanga,Rural,10-19,1165,1650,1299,757,577,1735,949,488,279
C4920,10,13,District-Darbhanga,Rural,20-29,776,1027,849,518,350,1274,527,499,200
C4920,10,13,District-Darbhanga,Rural,30-39,756,996,808,423,326,972,404,456,183
C4920,10,13,District-Darbhanga,Rural,40-49,666,850,633,279,210,980,329,358,132
C4920,10,13,District-Darbhanga,Rural,50-59,565,607,508,170,165,849,352,169,97
C4920,10,13,District-Darbhanga,Rural,60-69,709,664,611,173,141,1134,468,162,98
C4920,10,13,District-Darbhanga,Rural,70-79,393,292,264,54,42,484,283,56,43
C4920,10,13,District-Darbhanga,Rural,80-89,121,96,91,19,9,139,107,11,12
C4920,10,13,District-Darbhanga,Rural,90+,31,21,21,3,2,33,34,4,3
C4920,10,13,District-Darbhanga,Rural,Age Not Stated,14,29,12,6,11,7,5,5,2
C4920,10,13,District-Darbhanga,Urban,0-4,19,35,55,7,1,31,22,10,6
C4920,10,13,District-Darbhanga,Urban,5-9,31,71,85,23,24,44,35,23,8
C4920,10,13,District-Darbhanga,Urban,10-19,65,114,150,78,49,169,128,64,39
C4920,10,13,District-Darbhanga,Urban,20-29,55,83,107,44,32,178,72,72,26
C4920,10,13,District-Darbhanga,Urban,30-39,56,52,101,37,30,125,49,60,25
C4920,10,13,District-Darbhanga,Urban,40-49,51,70,85,21,17,99,35,60,20
C4920,10,13,District-Darbhanga,Urban,50-59,40,62,52,19,12,96,41,26,15
C4920,10,13,District-Darbhanga,Urban,60-69,57,40,43,6,9,98,32,22,4
C4920,10,13,District-Darbhanga,Urban,70-79,26,19,25,7,2,39,25,9,4
C4920,10,13,District-Darbhanga,Urban,80-89,2,4,13,3,0,14,5,1,2
C4920,10,13,District-Darbhanga,Urban,90+,1,1,4,0,0,3,0,0,0
C4920,10,13,District-Darbhanga,Urban,Age Not Stated,1,2,0,0,1,1,1,0,0
C4920,10,14,District-Muzaffarpur,Rural,0-4,1975,1500,1379,117,90,345,251,199,146
C4920,10,14,District-Muzaffarpur,Rural,5-9,2329,1761,1602,684,527,508,362,316,260
C4920,10,14,District-Muzaffarpur,Rural,10-19,3930,3036,2568,1140,854,1665,855,909,589
C4920,10,14,District-Muzaffarpur,Rural,20-29,2595,2141,1834,834,578,1588,583,726,388
C4920,10,14,District-Muzaffarpur,Rural,30-39,2410,2107,1693,795,564,1385,533,759,368
C4920,10,14,District-Muzaffarpur,Rural,40-49,1864,1580,1253,551,369,1260,455,566,254
C4920,10,14,District-Muzaffarpur,Rural,50-59,1260,1151,935,294,236,1085,444,279,188
C4920,10,14,District-Muzaffarpur,Rural,60-69,1466,1194,916,295,210,1540,678,247,167
C4920,10,14,District-Muzaffarpur,Rural,70-79,734,545,409,139,77,806,340,99,62
C4920,10,14,District-Muzaffarpur,Rural,80-89,222,157,130,19,18,211,123,26,11
C4920,10,14,District-Muzaffarpur,Rural,90+,74,50,49,11,18,57,39,15,5
C4920,10,14,District-Muzaffarpur,Rural,Age Not Stated,30,47,30,10,7,13,4,6,5
C4920,10,14,District-Muzaffarpur,Urban,0-4,90,115,115,14,10,40,18,16,15
C4920,10,14,District-Muzaffarpur,Urban,5-9,103,150,135,55,61,43,34,21,28
C4920,10,14,District-Muzaffarpur,Urban,10-19,227,319,300,111,64,155,105,101,66
C4920,10,14,District-Muzaffarpur,Urban,20-29,194,232,265,81,57,141,80,85,42
C4920,10,14,District-Muzaffarpur,Urban,30-39,137,229,242,67,48,119,62,78,36
C4920,10,14,District-Muzaffarpur,Urban,40-49,168,154,163,45,29,126,56,68,23
C4920,10,14,District-Muzaffarpur,Urban,50-59,84,116,105,35,30,105,47,29,17
C4920,10,14,District-Muzaffarpur,Urban,60-69,96,107,87,19,16,108,53,19,11
C4920,10,14,District-Muzaffarpur,Urban,70-79,39,30,38,7,9,68,30,6,8
C4920,10,14,District-Muzaffarpur,Urban,80-89,16,18,20,4,1,16,19,3,3
C4920,10,14,District-Muzaffarpur,Urban,90+,4,6,7,1,2,5,4,2,0
C4920,10,14,District-Muzaffarpur,Urban,Age Not Stated,3,1,3,1,0,2,0,2,2
C4920,10,15,District-Gopalganj,Rural,0-4,295,431,381,36,37,172,112,48,64
C4920,10,15,District-Gopalganj,Rural,5-9,405,563,536,260,213,312,190,147,104
C4920,10,15,District-Gopalganj,Rural,10-19,828,1056,909,576,442,1105,701,490,322
C4920,10,15,District-Gopalganj,Rural,20-29,404,678,587,333,248,807,356,336,188
C4920,10,15,District-Gopalganj,Rural,30-39,412,607,567,271,230,691,285,318,143
C4920,10,15,District-Gopalganj,Rural,40-49,438,521,434,179,140,680,264,262,105
C4920,10,15,District-Gopalganj,Rural,50-59,388,418,379,126,110,585,299,117,68
C4920,10,15,District-Gopalganj,Rural,60-69,561,482,402,103,73,715,384,85,64
C4920,10,15,District-Gopalganj,Rural,70-79,375,308,220,31,33,410,218,43,28
C4920,10,15,District-Gopalganj,Rural,80-89,98,84,53,13,9,104,85,15,6
C4920,10,15,District-Gopalganj,Rural,90+,32,24,13,6,2,25,33,3,1
C4920,10,15,District-Gopalganj,Rural,Age Not Stated,7,10,9,5,2,8,2,1,1
C4920,10,15,District-Gopalganj,Urban,0-4,8,20,25,2,2,8,7,3,3
C4920,10,15,District-Gopalganj,Urban,5-9,20,44,25,19,12,14,15,10,2
C4920,10,15,District-Gopalganj,Urban,10-19,41,48,39,40,29,57,41,28,24
C4920,10,15,District-Gopalganj,Urban,20-29,28,37,35,30,11,65,21,30,16
