Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,1,2,0,District - Baramula  02,Urban,Age not stated,10,7,1,0,0,0,0,0,1,0
C4920,1,3,0,District - Srinagar  03,Rural,0-4,230,236,6,4,2,6,20,15,19,8
C4920,1,3,0,District - Srinagar  03,Rural,5-9,349,305,40,19,7,10,52,49,31,23
C4920,1,3,0,District - Srinagar  03,Rural,10-19,700,568,66,51,24,31,121,116,86,41
C4920,1,3,0,District - Srinagar  03,Rural,20-29,403,325,37,28,8,7,79,37,57,28
C4920,1,3,0,District - Srinagar  03,Rural,30-39,353,273,27,19,10,6,54,45,55,43
C4920,1,3,0,District - Srinagar  03,Rural,40-49,345,223,19,11,8,12,56,33,44,22
C4920,1,3,0,District - Srinagar  03,Rural,50-59,213,117,15,4,10,8,57,34,23,8
C4920,1,3,0,District - Srinagar  03,Rural,60-69,161,92,9,5,19,21,56,31,18,6
C4920,1,3,0,District - Srinagar  03,Rural,70-79,71,42,2,1,15,9,36,26,7,4
C4920,1,3,0,District - Srinagar  03,Rural,80-89,33,23,2,2,6,4,16,8,8,2
C4920,1,3,0,District - Srinagar  03,Rural,90+,11,12,0,0,2,6,3,3,1,1
C4920,1,3,0,District - Srinagar  03,Rural,Age not stated,34,29,1,0,5,3,3,8,4,3
C4920,1,3,0,District - Srinagar  03,Urban,0-4,664,542,9,6,12,18,18,18,27,25
C4920,1,3,0,District - Srinagar  03,Urban,5-9,1120,974,50,51,10,16,42,44,74,59
C4920,1,3,0,District - Srinagar  03,Urban,10-19,2838,2340,111,87,36,39,134,93,268,171
C4920,1,3,0,District - Srinagar  03,Urban,20-29,2171,1542,115,99,56,44,151,84,269,162
C4920,1,3,0,District - Srinagar  03,Urban,30-39,1758,1317,96,93,40,37,112,70,280,182
C4920,1,3,0,District - Srinagar  03,Urban,40-49,1652,984,78,44,53,31,103,73,220,106
C4920,1,3,0,District - Srinagar  03,Urban,50-59,1122,665,45,35,53,68,94,60,154,72
C4920,1,3,0,District - Srinagar  03,Urban,60-69,779,437,29,40,113,164,113,83,92,47
C4920,1,3,0,District - Srinagar  03,Urban,70-79,309,175,10,16,66,103,96,47,35,23
C4920,1,3,0,District - Srinagar  03,Urban,80-89,89,60,5,2,27,31,23,18,5,6
C4920,1,3,0,District - Srinagar  03,Urban,90+,20,17,1,1,8,5,5,6,3,3
C4920,1,3,0,District - Srinagar  03,Urban,Age not stated,74,63,2,6,10,6,7,7,12,4
C4920,1,4,0,District - Badgam  04,Rural,0-4,435,381,6,9,3,7,27,29,15,22
C4920,1,4,0,District - Badgam  04,Rural,5-9,682,516,54,52,12,17,88,76,51,34
C4920,1,4,0,District - Badgam  04,Rural,10-19,1113,945,156,88,47,34,271,171,168,121
C4920,1,4,0,District - Badgam  04,Rural,20-29,694,522,99,59,26,30,161,111,130,77
C4920,1,4,0,District - Badgam  04,Rural,30-39,638,419,80,38,27,16,127,85,119,67
C4920,1,4,0,District - Badgam  04,Rural,40-49,587,353,54,28,41,30,106,63,113,60
C4920,1,4,0,District - Badgam  04,Rural,50-59,375,242,26,24,51,50,114,81,65,26
C4920,1,4,0,District - Badgam  04,Rural,60-69,292,212,28,17,62,81,120,99,47,21
C4920,1,4,0,District - Badgam  04,Rural,70-79,146,124,14,10,44,53,84,42,17,11
C4920,1,4,0,District - Badgam  04,Rural,80-89,66,38,2,3,25,21,32,22,5,1
C4920,1,4,0,District - Badgam  04,Rural,90+,23,14,2,1,9,3,13,9,2,2
C4920,1,4,0,District - Badgam  04,Rural,Age not stated,41,30,1,1,2,4,16,8,4,6
C4920,1,4,0,District - Badgam  04,Urban,0-4,56,35,2,1,0,0,1,2,2,5
C4920,1,4,0,District - Badgam  04,Urban,5-9,88,54,5,4,2,4,4,8,7,10
C4920,1,4,0,District - Badgam  04,Urban,10-19,192,140,9,11,6,5,16,16,23,14
C4920,1,4,0,District - Badgam  04,Urban,20-29,112,85,8,4,2,1,18,9,15,7
C4920,1,4,0,District - Badgam  04,Urban,30-39,84,65,8,5,2,1,8,12,9,9
C4920,1,4,0,District - Badgam  04,Urban,40-49,83,51,5,7,2,0,11,4,12,6
C4920,1,4,0,District - Badgam  04,Urban,50-59,47,33,4,1,7,9,13,11,3,1
C4920,1,4,0,District - Badgam  04,Urban,60-69,22,33,0,3,31,25,8,5,4,3
C4920,1,4,0,District - Badgam  04,Urban,70-79,8,17,4,2,10,8,3,7,2,0
