Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,6,2,0,District - Ambala  02,Rural,10-19,532,470,163,103,47,38,787,480,302,214
C4920,6,2,0,District - Ambala  02,Rural,20-29,431,351,86,47,35,17,722,365,276,130
C4920,6,2,0,District - Ambala  02,Rural,30-39,370,282,72,54,37,28,367,141,212,107
C4920,6,2,0,District - Ambala  02,Rural,40-49,349,204,38,31,34,27,304,122,142,69
C4920,6,2,0,District - Ambala  02,Rural,50-59,207,133,23,17,25,18,227,87,75,42
C4920,6,2,0,District - Ambala  02,Rural,60-69,292,293,22,23,52,64,211,151,47,49
C4920,6,2,0,District - Ambala  02,Rural,70-79,233,223,17,11,53,52,128,79,25,18
C4920,6,2,0,District - Ambala  02,Rural,80-89,99,80,4,7,40,29,60,58,3,12
C4920,6,2,0,District - Ambala  02,Rural,90+,33,33,3,0,26,16,18,25,4,3
C4920,6,2,0,District - Ambala  02,Rural,Age not stated,9,2,1,0,1,0,2,2,2,1
C4920,6,2,0,District - Ambala  02,Urban,0-4,113,90,4,4,3,2,31,21,18,8
C4920,6,2,0,District - Ambala  02,Urban,5-9,105,97,35,17,5,12,60,38,37,31
C4920,6,2,0,District - Ambala  02,Urban,10-19,265,211,83,47,19,24,262,167,137,109
C4920,6,2,0,District - Ambala  02,Urban,20-29,285,192,57,23,14,12,239,149,131,79
C4920,6,2,0,District - Ambala  02,Urban,30-39,236,164,34,22,11,11,165,102,124,69
C4920,6,2,0,District - Ambala  02,Urban,40-49,198,92,28,16,14,13,153,65,98,53
C4920,6,2,0,District - Ambala  02,Urban,50-59,116,91,15,6,12,12,113,66,48,20
C4920,6,2,0,District - Ambala  02,Urban,60-69,105,104,11,8,22,15,119,69,27,22
C4920,6,2,0,District - Ambala  02,Urban,70-79,72,52,9,2,21,18,93,71,9,9
C4920,6,2,0,District - Ambala  02,Urban,80-89,21,28,0,4,9,18,23,37,3,4
C4920,6,2,0,District - Ambala  02,Urban,90+,10,8,0,0,5,5,7,7,0,2
C4920,6,2,0,District - Ambala  02,Urban,Age not stated,1,3,0,0,0,1,1,0,0,0
C4920,6,3,0,District - Yamunanagar  03,Rural,0-4,308,222,15,2,14,4,96,50,40,24
C4920,6,3,0,District - Yamunanagar  03,Rural,5-9,294,245,95,52,26,33,190,108,108,71
C4920,6,3,0,District - Yamunanagar  03,Rural,10-19,561,378,173,100,72,62,761,483,339,189
C4920,6,3,0,District - Yamunanagar  03,Rural,20-29,466,306,93,41,38,22,688,305,230,107
C4920,6,3,0,District - Yamunanagar  03,Rural,30-39,427,283,60,41,41,32,405,179,176,110
C4920,6,3,0,District - Yamunanagar  03,Rural,40-49,353,209,37,28,33,25,299,130,144,76
C4920,6,3,0,District - Yamunanagar  03,Rural,50-59,232,171,44,18,36,26,216,95,68,47
C4920,6,3,0,District - Yamunanagar  03,Rural,60-69,329,381,35,33,80,85,233,163,52,54
C4920,6,3,0,District - Yamunanagar  03,Rural,70-79,352,304,18,20,80,88,169,107,42,26
C4920,6,3,0,District - Yamunanagar  03,Rural,80-89,130,111,15,4,45,43,59,47,13,7
C4920,6,3,0,District - Yamunanagar  03,Rural,90+,47,47,1,2,11,17,32,30,4,5
C4920,6,3,0,District - Yamunanagar  03,Rural,Age not stated,5,3,0,0,2,3,2,2,0,0
C4920,6,3,0,District - Yamunanagar  03,Urban,0-4,147,115,5,4,2,2,37,22,34,16
C4920,6,3,0,District - Yamunanagar  03,Urban,5-9,187,129,48,22,7,5,91,52,58,42
C4920,6,3,0,District - Yamunanagar  03,Urban,10-19,370,306,85,45,28,29,303,189,183,127
