Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,8,4,0,District - Churu  04,Urban,50-59,226,161,23,21,32,32,200,77,61,30
C4920,8,4,0,District - Churu  04,Urban,60-69,250,230,22,18,47,59,194,136,43,31
C4920,8,4,0,District - Churu  04,Urban,70-79,148,196,11,10,48,62,123,106,8,7
C4920,8,4,0,District - Churu  04,Urban,80-89,49,88,6,6,23,31,32,58,5,8
C4920,8,4,0,District - Churu  04,Urban,90+,8,26,1,0,6,10,15,24,1,3
C4920,8,4,0,District - Churu  04,Urban,Age not stated,9,6,0,0,0,0,0,1,0,0
C4920,8,5,0,District - Jhunjhunun  05,Rural,0-4,468,352,22,13,18,11,151,97,48,36
C4920,8,5,0,District - Jhunjhunun  05,Rural,5-9,538,430,206,116,51,42,456,258,166,108
C4920,8,5,0,District - Jhunjhunun  05,Rural,10-19,1005,787,381,178,124,90,1504,693,578,233
C4920,8,5,0,District - Jhunjhunun  05,Rural,20-29,638,555,201,77,66,36,1086,401,407,140
C4920,8,5,0,District - Jhunjhunun  05,Rural,30-39,581,565,140,89,72,49,773,272,309,125
C4920,8,5,0,District - Jhunjhunun  05,Rural,40-49,603,484,86,57,83,50,679,212,230,87
C4920,8,5,0,District - Jhunjhunun  05,Rural,50-59,517,427,64,40,94,73,491,182,128,91
C4920,8,5,0,District - Jhunjhunun  05,Rural,60-69,645,739,54,41,143,206,549,330,67,61
C4920,8,5,0,District - Jhunjhunun  05,Rural,70-79,520,656,27,29,174,244,361,363,33,32
C4920,8,5,0,District - Jhunjhunun  05,Rural,80-89,220,320,8,5,87,124,149,198,8,14
C4920,8,5,0,District - Jhunjhunun  05,Rural,90+,49,92,0,2,18,35,16,68,1,4
C4920,8,5,0,District - Jhunjhunun  05,Rural,Age not stated,6,6,1,0,0,1,7,5,2,0
C4920,8,5,0,District - Jhunjhunun  05,Urban,0-4,114,103,2,8,11,13,52,26,13,17
C4920,8,5,0,District - Jhunjhunun  05,Urban,5-9,138,116,62,32,15,13,117,64,33,18
C4920,8,5,0,District - Jhunjhunun  05,Urban,10-19,297,219,103,70,30,24,343,201,125,59
C4920,8,5,0,District - Jhunjhunun  05,Urban,20-29,187,152,51,12,20,9,282,106,101,50
