Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,28,5,0,District - Hyderabad  05,Rural,0-4,0,0,0,0,0,0,0,0,0,0
C4920,28,5,0,District - Hyderabad  05,Rural,5-9,0,0,0,0,0,0,0,0,0,0
C4920,28,5,0,District - Hyderabad  05,Rural,10-19,0,0,0,0,0,0,0,0,0,0
C4920,28,5,0,District - Hyderabad  05,Rural,20-29,0,0,0,0,0,0,0,0,0,0
C4920,28,5,0,District - Hyderabad  05,Rural,30-39,0,0,0,0,0,0,0,0,0,0
C4920,28,5,0,District - Hyderabad  05,Rural,40-49,0,0,0,0,0,0,0,0,0,0
C4920,28,5,0,District - Hyderabad  05,Rural,50-59,0,0,0,0,0,0,0,0,0,0
C4920,28,5,0,District - Hyderabad  05,Rural,60-69,0,0,0,0,0,0,0,0,0,0
C4920,28,5,0,District - Hyderabad  05,Rural,70-79,0,0,0,0,0,0,0,0,0,0
C4920,28,5,0,District - Hyderabad  05,Rural,80-89,0,0,0,0,0,0,0,0,0,0
C4920,28,5,0,District - Hyderabad  05,Rural,90+,0,0,0,0,0,0,0,0,0,0
C4920,28,5,0,District - Hyderabad  05,Rural,Age not stated,0,0,0,0,0,0,0,0,0,0
C4920,28,5,0,District - Hyderabad  05,Urban,0-4,998,911,46,38,37,27,169,141,133,139
C4920,28,5,0,District - Hyderabad  05,Urban,5-9,1273,1148,310,253,59,64,461,350,363,302
C4920,28,5,0,District - Hyderabad  05,Urban,10-19,2807,2673,734,676,166,160,1650,1133,1141,865
C4920,28,5,0,District - Hyderabad  05,Urban,20-29,2615,2201,597,416,131,109,1706,815,927,624
C4920,28,5,0,District - Hyderabad  05,Urban,30-39,2324,1563,338,304,93,90,1073,505,755,433
C4920,28,5,0,District - Hyderabad  05,Urban,40-49,1921,1140,229,183,88,90,992,419,588,281
C4920,28,5,0,District - Hyderabad  05,Urban,50-59,1275,763,162,89,80,82,864,301,335,146
C4920,28,5,0,District - Hyderabad  05,Urban,60-69,835,694,93,93,91,112,669,288,176,119
C4920,28,5,0,District - Hyderabad  05,Urban,70-79,408,344,50,37,80,66,285,184,75,56
C4920,28,5,0,District - Hyderabad  05,Urban,80-89,100,140,5,20,42,38,91,82,21,23
C4920,28,5,0,District - Hyderabad  05,Urban,90+,35,39,5,6,7,13,13,30,5,2
C4920,28,5,0,District - Hyderabad  05,Urban,Age not stated,104,50,25,7,7,5,14,7,15,10
C4920,28,6,0,District - Rangareddi  06,Rural,0-4,339,353,30,22,16,14,181,143,45,43
C4920,28,6,0,District - Rangareddi  06,Rural,5-9,529,531,273,241,44,56,492,344,170,111
C4920,28,6,0,District - Rangareddi  06,Rural,10-19,1033,802,425,354,154,77,1423,988,459,392
C4920,28,6,0,District - Rangareddi  06,Rural,20-29,1065,637,250,197,70,67,1086,529,299,244
C4920,28,6,0,District - Rangareddi  06,Rural,30-39,1284,624,164,129,60,59,708,305,232,174
C4920,28,6,0,District - Rangareddi  06,Rural,40-49,1231,610,113,100,72,64,646,268,171,109
C4920,28,6,0,District - Rangareddi  06,Rural,50-59,931,685,60,57,69,92,519,247,94,65
C4920,28,6,0,District - Rangareddi  06,Rural,60-69,927,953,55,46,102,115,511,346,75,58
C4920,28,6,0,District - Rangareddi  06,Rural,70-79,661,626,25,29,90,89,305,208,30,24
C4920,28,6,0,District - Rangareddi  06,Rural,80-89,186,219,8,7,31,46,91,84,14,7
