Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,7,5,District-New Delhi,Urban,Age Not Stated,1,6,0,0,0,1,0,0,0
C4920,7,6,District-Central,Rural,0-4,0,0,0,0,0,0,0,0,0
C4920,7,6,District-Central,Rural,5-9,0,0,0,0,0,0,0,0,0
C4920,7,6,District-Central,Rural,10-19,0,0,0,0,0,0,0,0,0
C4920,7,6,District-Central,Rural,20-29,0,0,0,0,0,0,0,0,0
C4920,7,6,District-Central,Rural,30-39,0,0,0,0,0,0,0,0,0
C4920,7,6,District-Central,Rural,40-49,0,0,0,0,0,0,0,0,0
C4920,7,6,District-Central,Rural,50-59,0,0,0,0,0,0,0,0,0
C4920,7,6,District-Central,Rural,60-69,0,0,0,0,0,0,0,0,0
C4920,7,6,District-Central,Rural,70-79,0,0,0,0,0,0,0,0,0
C4920,7,6,District-Central,Rural,80-89,0,0,0,0,0,0,0,0,0
C4920,7,6,District-Central,Rural,90+,0,0,0,0,0,0,0,0,0
C4920,7,6,District-Central,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,7,6,District-Central,Urban,0-4,14,46,39,8,5,20,12,20,13
C4920,7,6,District-Central,Urban,5-9,19,42,38,38,21,34,25,43,20
C4920,7,6,District-Central,Urban,10-19,85,97,91,79,44,122,79,154,111
C4920,7,6,District-Central,Urban,20-29,99,136,110,71,42,215,131,163,102
C4920,7,6,District-Central,Urban,30-39,107,112,98,59,42,220,104,134,90
C4920,7,6,District-Central,Urban,40-49,123,95,79,51,25,261,140,105,49
C4920,7,6,District-Central,Urban,50-59,175,106,76,45,20,277,227,75,31
C4920,7,6,District-Central,Urban,60-69,147,91,92,20,10,308,351,40,33
C4920,7,6,District-Central,Urban,70-79,55,70,95,14,10,189,299,12,20
C4920,7,6,District-Central,Urban,80-89,30,34,52,2,2,87,150,3,1
C4920,7,6,District-Central,Urban,90+,9,7,12,1,1,22,36,3,5
C4920,7,6,District-Central,Urban,Age Not Stated,3,2,0,1,0,0,2,0,0
C4920,7,7,District-West,Rural,0-4,0,0,1,0,0,1,0,0,0
C4920,7,7,District-West,Rural,5-9,2,1,0,0,0,0,0,0,0
C4920,7,7,District-West,Rural,10-19,1,0,2,0,0,1,2,4,1
C4920,7,7,District-West,Rural,20-29,0,1,0,0,1,3,0,0,0
C4920,7,7,District-West,Rural,30-39,2,0,0,0,0,2,0,1,1
C4920,7,7,District-West,Rural,40-49,0,0,0,0,0,5,2,1,1
C4920,7,7,District-West,Rural,50-59,0,2,0,0,0,0,0,1,0
C4920,7,7,District-West,Rural,60-69,2,2,0,1,0,0,1,0,0
C4920,7,7,District-West,Rural,70-79,0,1,3,0,0,0,0,0,0
C4920,7,7,District-West,Rural,80-89,0,2,2,0,0,1,1,0,0
C4920,7,7,District-West,Rural,90+,1,0,0,0,0,0,0,0,0
C4920,7,7,District-West,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,7,7,District-West,Urban,0-4,86,105,94,15,10,68,61,48,27
C4920,7,7,District-West,Urban,5-9,141,149,105,140,88,173,106,169,90
C4920,7,7,District-West,Urban,10-19,339,393,312,288,192,572,333,601,349
C4920,7,7,District-West,Urban,20-29,305,362,289,274,168,912,494,592,310
C4920,7,7,District-West,Urban,30-39,265,353,277,180,148,902,466,423,226
C4920,7,7,District-West,Urban,40-49,292,327,209,156,97,912,452,372,188
C4920,7,7,District-West,Urban,50-59,298,244,230,147,86,772,546,217,128
C4920,7,7,District-West,Urban,60-69,369,310,266,81,65,954,882,130,81
C4920,7,7,District-West,Urban,70-79,194,251,231,46,38,581,732,40,43
C4920,7,7,District-West,Urban,80-89,69,171,161,18,6,278,349,12,15
C4920,7,7,District-West,Urban,90+,18,28,30,1,4,48,83,3,3
C4920,7,7,District-West,Urban,Age Not Stated,8,12,8,9,4,10,5,2,1
C4920,7,8,District-South West,Rural,0-4,11,3,5,4,1,10,1,1,1
C4920,7,8,District-South West,Rural,5-9,11,9,7,7,12,10,9,8,3
