Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,9,9,District-Ghaziabad,Urban,5-9,1160,1867,1827,291,216,218,141,204,133
C4920,9,9,District-Ghaziabad,Urban,10-19,2352,3943,3635,552,465,860,551,588,359
C4920,9,9,District-Ghaziabad,Urban,20-29,2020,3350,3425,492,428,1111,586,513,320
C4920,9,9,District-Ghaziabad,Urban,30-39,1760,2919,2917,438,327,782,382,360,234
C4920,9,9,District-Ghaziabad,Urban,40-49,1458,2276,1890,318,226,568,284,281,178
C4920,9,9,District-Ghaziabad,Urban,50-59,932,1326,1071,205,138,409,219,157,89
C4920,9,9,District-Ghaziabad,Urban,60-69,676,803,781,139,95,367,224,78,51
C4920,9,9,District-Ghaziabad,Urban,70-79,337,401,337,48,32,200,153,37,20
C4920,9,9,District-Ghaziabad,Urban,80-89,103,158,131,19,16,75,64,8,12
C4920,9,9,District-Ghaziabad,Urban,90+,48,89,97,14,11,21,18,17,11
C4920,9,9,District-Ghaziabad,Urban,Age Not Stated,232,511,474,42,40,88,47,52,33
C4920,9,10,District-Gautam Buddha Nagar,Rural,0-4,115,208,177,9,3,36,21,27,24
C4920,9,10,District-Gautam Buddha Nagar,Rural,5-9,138,267,224,59,41,68,21,41,39
C4920,9,10,District-Gautam Buddha Nagar,Rural,10-19,268,520,425,126,77,337,184,145,77
C4920,9,10,District-Gautam Buddha Nagar,Rural,20-29,200,401,349,77,57,414,175,127,58
C4920,9,10,District-Gautam Buddha Nagar,Rural,30-39,143,303,237,53,42,243,105,86,37
C4920,9,10,District-Gautam Buddha Nagar,Rural,40-49,139,234,168,41,31,174,67,52,30
C4920,9,10,District-Gautam Buddha Nagar,Rural,50-59,137,153,138,24,14,100,60,29,14
C4920,9,10,District-Gautam Buddha Nagar,Rural,60-69,125,142,143,12,14,100,50,15,16
C4920,9,10,District-Gautam Buddha Nagar,Rural,70-79,87,93,93,11,6,63,52,15,7
C4920,9,10,District-Gautam Buddha Nagar,Rural,80-89,45,38,45,9,2,32,31,3,2
C4920,9,10,District-Gautam Buddha Nagar,Rural,90+,11,18,20,4,0,9,3,1,3
C4920,9,10,District-Gautam Buddha Nagar,Rural,Age Not Stated,80,106,76,11,6,44,15,14,21
C4920,9,10,District-Gautam Buddha Nagar,Urban,0-4,117,285,203,16,11,39,28,13,16
C4920,9,10,District-Gautam Buddha Nagar,Urban,5-9,153,282,265,86,64,48,31,42,34
C4920,9,10,District-Gautam Buddha Nagar,Urban,10-19,252,602,468,164,114,208,121,122,83
C4920,9,10,District-Gautam Buddha Nagar,Urban,20-29,265,626,490,139,87,264,129,93,69
C4920,9,10,District-Gautam Buddha Nagar,Urban,30-39,231,453,423,124,103,195,82,77,55
C4920,9,10,District-Gautam Buddha Nagar,Urban,40-49,150,387,261,86,58,119,70,59,29
C4920,9,10,District-Gautam Buddha Nagar,Urban,50-59,134,190,130,42,37,103,39,34,31
C4920,9,10,District-Gautam Buddha Nagar,Urban,60-69,136,120,129,29,31,85,53,15,9
C4920,9,10,District-Gautam Buddha Nagar,Urban,70-79,80,78,85,19,15,50,66,8,5
C4920,9,10,District-Gautam Buddha Nagar,Urban,80-89,22,34,38,3,8,25,34,5,3
C4920,9,10,District-Gautam Buddha Nagar,Urban,90+,10,11,15,1,3,5,8,2,0
C4920,9,10,District-Gautam Buddha Nagar,Urban,Age Not Stated,55,78,70,6,10,17,7,22,15
C4920,9,11,District-Bulandshahr ,Rural,0-4,158,301,296,34,29,138,96,40,36
C4920,9,11,District-Bulandshahr ,Rural,5-9,195,389,301,218,127,278,179,152,88
C4920,9,11,District-Bulandshahr ,Rural,10-19,496,886,749,424,242,1823,992,693,406
C4920,9,11,District-Bulandshahr ,Rural,20-29,333,686,494,266,144,1870,820,512,182
C4920,9,11,District-Bulandshahr ,Rural,30-39,293,505,343,190,116,1112,479,361,162
