Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,6,5,District-Kaithal,Urban,50-59,70,39,41,9,7,96,66,25,12
C4920,6,5,District-Kaithal,Urban,60-69,97,33,41,12,9,108,115,12,9
C4920,6,5,District-Kaithal,Urban,70-79,41,28,28,6,1,59,69,8,3
C4920,6,5,District-Kaithal,Urban,80-89,17,16,23,3,3,24,27,2,3
C4920,6,5,District-Kaithal,Urban,90+,3,6,9,0,1,6,8,0,1
C4920,6,5,District-Kaithal,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,6,6,District-Karnal,Rural,0-4,147,223,176,11,9,42,30,38,18
C4920,6,6,District-Karnal,Rural,5-9,150,252,209,80,41,93,63,69,56
C4920,6,6,District-Karnal,Rural,10-19,296,566,489,166,80,316,211,334,202
C4920,6,6,District-Karnal,Rural,20-29,230,540,468,93,49,844,438,308,161
C4920,6,6,District-Karnal,Rural,30-39,199,402,354,67,75,731,344,216,128
C4920,6,6,District-Karnal,Rural,40-49,197,335,269,52,44,398,197,148,87
C4920,6,6,District-Karnal,Rural,50-59,160,207,222,42,30,313,173,114,63
C4920,6,6,District-Karnal,Rural,60-69,283,244,262,29,26,357,258,56,52
C4920,6,6,District-Karnal,Rural,70-79,209,160,137,16,7,212,166,27,23
C4920,6,6,District-Karnal,Rural,80-89,127,92,101,4,3,84,101,9,7
C4920,6,6,District-Karnal,Rural,90+,47,37,39,2,1,43,36,5,4
C4920,6,6,District-Karnal,Rural,Age Not Stated,12,7,8,2,0,4,5,2,1
C4920,6,6,District-Karnal,Urban,0-4,71,153,141,3,2,12,9,22,16
C4920,6,6,District-Karnal,Urban,5-9,87,185,146,32,14,36,15,36,31
C4920,6,6,District-Karnal,Urban,10-19,171,444,340,64,40,116,65,118,76
C4920,6,6,District-Karnal,Urban,20-29,137,417,400,37,38,225,152,149,94
C4920,6,6,District-Karnal,Urban,30-39,146,323,282,36,31,210,121,123,51
C4920,6,6,District-Karnal,Urban,40-49,111,275,215,25,20,166,98,74,52
C4920,6,6,District-Karnal,Urban,50-59,119,175,177,20,13,128,69,62,31
C4920,6,6,District-Karnal,Urban,60-69,93,145,156,18,10,128,102,38,35
C4920,6,6,District-Karnal,Urban,70-79,56,80,87,8,10,76,70,16,18
C4920,6,6,District-Karnal,Urban,80-89,25,36,43,3,4,19,30,3,6
C4920,6,6,District-Karnal,Urban,90+,5,19,15,3,4,3,12,4,1
C4920,6,6,District-Karnal,Urban,Age Not Stated,6,17,20,0,2,4,1,1,2
C4920,6,7,District-Panipat,Rural,0-4,38,114,103,7,11,40,19,16,16
C4920,6,7,District-Panipat,Rural,5-9,41,123,101,55,33,61,28,54,28
C4920,6,7,District-Panipat,Rural,10-19,96,232,200,93,49,237,127,166,95
C4920,6,7,District-Panipat,Rural,20-29,83,271,203,68,41,403,203,138,46
C4920,6,7,District-Panipat,Rural,30-39,83,180,127,32,41,324,163,114,37
C4920,6,7,District-Panipat,Rural,40-49,78,153,118,26,20,205,86,68,46
C4920,6,7,District-Panipat,Rural,50-59,79,88,106,11,16,144,80,25,31
C4920,6,7,District-Panipat,Rural,60-69,134,79,121,15,9,167,103,28,15
C4920,6,7,District-Panipat,Rural,70-79,113,69,64,6,6,86,74,7,9
C4920,6,7,District-Panipat,Rural,80-89,73,44,55,4,1,45,46,2,3
C4920,6,7,District-Panipat,Rural,90+,13,23,20,1,0,11,10,1,3
C4920,6,7,District-Panipat,Rural,Age Not Stated,0,2,3,0,0,1,0,1,0
C4920,6,7,District-Panipat,Urban,0-4,38,155,120,8,8,25,15,15,11
C4920,6,7,District-Panipat,Urban,5-9,44,173,127,34,19,63,34,33,20
C4920,6,7,District-Panipat,Urban,10-19,175,341,278,70,38,171,84,133,91
C4920,6,7,District-Panipat,Urban,20-29,89,323,309,58,49,237,155,140,67
C4920,6,7,District-Panipat,Urban,30-39,97,212,216,36,23,161,135,92,55
C4920,6,7,District-Panipat,Urban,40-49,91,181,160,38,26,156,88,84,55
C4920,6,7,District-Panipat,Urban,50-59,71,124,112,29,12,130,71,49,36
C4920,6,7,District-Panipat,Urban,60-69,98,96,107,13,12,119,108,31,24
C4920,6,7,District-Panipat,Urban,70-79,47,61,49,5,8,66,74,18,9
