Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,1,4,District-Kargil,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,1,5,District-Punch,Rural,0-4,42,66,101,11,5,36,28,7,10
C4920,1,5,District-Punch,Rural,5-9,76,108,100,64,47,78,51,32,16
C4920,1,5,District-Punch,Rural,10-19,143,212,204,135,87,248,170,92,73
C4920,1,5,District-Punch,Rural,20-29,74,504,126,73,53,219,117,68,56
C4920,1,5,District-Punch,Rural,30-39,84,344,126,71,27,217,97,78,49
C4920,1,5,District-Punch,Rural,40-49,84,180,101,49,23,195,84,67,56
C4920,1,5,District-Punch,Rural,50-59,97,109,97,25,15,158,80,38,29
C4920,1,5,District-Punch,Rural,60-69,137,90,77,18,16,162,79,16,13
C4920,1,5,District-Punch,Rural,70-79,144,95,56,10,7,102,53,6,11
C4920,1,5,District-Punch,Rural,80-89,84,65,35,11,5,57,25,6,4
C4920,1,5,District-Punch,Rural,90+,45,27,18,0,1,16,19,3,0
C4920,1,5,District-Punch,Rural,Age Not Stated,3,4,1,1,0,0,1,0,0
C4920,1,5,District-Punch,Urban,0-4,1,7,2,1,0,2,1,0,0
C4920,1,5,District-Punch,Urban,5-9,2,9,4,2,4,0,2,4,0
C4920,1,5,District-Punch,Urban,10-19,11,20,13,2,5,11,3,3,6
C4920,1,5,District-Punch,Urban,20-29,7,4,10,8,3,12,10,2,5
C4920,1,5,District-Punch,Urban,30-39,5,12,10,4,3,23,6,4,0
C4920,1,5,District-Punch,Urban,40-49,15,8,10,5,2,25,5,10,0
C4920,1,5,District-Punch,Urban,50-59,6,10,7,2,0,11,11,0,2
C4920,1,5,District-Punch,Urban,60-69,7,8,1,2,1,11,3,3,2
C4920,1,5,District-Punch,Urban,70-79,4,2,2,1,0,10,3,1,1
C4920,1,5,District-Punch,Urban,80-89,1,3,5,0,1,2,0,0,1
C4920,1,5,District-Punch,Urban,90+,1,2,0,0,0,0,2,0,1
C4920,1,5,District-Punch,Urban,Age Not Stated,1,0,0,0,0,0,0,0,0
C4920,1,6,District-Rajouri,Rural,0-4,174,108,104,14,14,36,28,16,19
C4920,1,6,District-Rajouri,Rural,5-9,165,135,124,80,47,79,44,43,31
C4920,1,6,District-Rajouri,Rural,10-19,350,263,224,132,93,233,127,135,93
C4920,1,6,District-Rajouri,Rural,20-29,294,403,180,111,62,234,150,137,93
C4920,1,6,District-Rajouri,Rural,30-39,237,334,182,79,43,264,110,137,92
C4920,1,6,District-Rajouri,Rural,40-49,214,213,156,56,42,189,77,92,59
C4920,1,6,District-Rajouri,Rural,50-59,192,162,90,39,23,153,95,51,43
C4920,1,6,District-Rajouri,Rural,60-69,178,130,111,27,9,179,122,42,30
C4920,1,6,District-Rajouri,Rural,70-79,170,135,87,15,6,106,75,24,13
C4920,1,6,District-Rajouri,Rural,80-89,107,64,74,4,6,57,42,4,4
C4920,1,6,District-Rajouri,Rural,90+,51,44,38,6,0,24,16,3,1
C4920,1,6,District-Rajouri,Rural,Age Not Stated,2,2,5,1,0,1,1,0,0
C4920,1,6,District-Rajouri,Urban,0-4,3,6,4,0,1,0,0,0,1
C4920,1,6,District-Rajouri,Urban,5-9,7,6,2,8,0,1,2,3,1
C4920,1,6,District-Rajouri,Urban,10-19,6,15,13,7,4,6,4,9,4
C4920,1,6,District-Rajouri,Urban,20-29,24,59,11,10,5,12,10,14,6
C4920,1,6,District-Rajouri,Urban,30-39,27,45,8,12,2,21,6,6,3
C4920,1,6,District-Rajouri,Urban,40-49,20,35,3,7,1,14,10,11,1
C4920,1,6,District-Rajouri,Urban,50-59,9,10,5,3,1,13,6,1,0
C4920,1,6,District-Rajouri,Urban,60-69,5,2,4,0,4,8,3,1,2
C4920,1,6,District-Rajouri,Urban,70-79,2,1,4,2,1,7,9,1,1
C4920,1,6,District-Rajouri,Urban,80-89,2,1,4,1,1,2,1,0,0
C4920,1,6,District-Rajouri,Urban,90+,1,0,1,0,0,0,0,0,0
C4920,1,6,District-Rajouri,Urban,Age Not Stated,0,1,0,0,0,0,0,0,0
C4920,1,7,District-Kathua,Rural,0-4,157,86,67,13,5,34,24,25,11
C4920,1,7,District-Kathua,Rural,5-9,193,102,67,74,46,65,32,32,32
