Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,22,6,District-Janjgir - Champa,Rural,10-19,322,309,249,247,195,945,735,420,364
C4920,22,6,District-Janjgir - Champa,Rural,20-29,264,244,202,142,121,1474,931,354,278
C4920,22,6,District-Janjgir - Champa,Rural,30-39,224,261,210,101,90,1052,528,274,240
C4920,22,6,District-Janjgir - Champa,Rural,40-49,272,267,255,93,65,744,474,223,198
C4920,22,6,District-Janjgir - Champa,Rural,50-59,344,199,271,53,42,648,530,96,111
C4920,22,6,District-Janjgir - Champa,Rural,60-69,743,411,614,57,48,993,1137,61,83
C4920,22,6,District-Janjgir - Champa,Rural,70-79,595,396,463,20,17,743,866,25,30
C4920,22,6,District-Janjgir - Champa,Rural,80-89,164,161,170,4,7,271,337,8,12
C4920,22,6,District-Janjgir - Champa,Rural,90+,30,30,42,1,2,71,109,1,4
C4920,22,6,District-Janjgir - Champa,Rural,Age Not Stated,0,0,1,0,0,3,3,0,0
C4920,22,6,District-Janjgir - Champa,Urban,0-4,16,10,10,4,3,16,10,9,3
C4920,22,6,District-Janjgir - Champa,Urban,5-9,17,19,15,18,13,34,19,14,10
C4920,22,6,District-Janjgir - Champa,Urban,10-19,60,37,50,42,26,113,82,63,40
C4920,22,6,District-Janjgir - Champa,Urban,20-29,37,38,30,26,19,227,147,70,49
C4920,22,6,District-Janjgir - Champa,Urban,30-39,45,40,37,18,13,174,98,50,42
C4920,22,6,District-Janjgir - Champa,Urban,40-49,53,38,34,16,15,156,74,40,33
C4920,22,6,District-Janjgir - Champa,Urban,50-59,55,33,31,4,7,129,76,25,16
C4920,22,6,District-Janjgir - Champa,Urban,60-69,66,59,72,15,7,149,148,21,28
C4920,22,6,District-Janjgir - Champa,Urban,70-79,50,48,70,6,2,101,137,13,18
C4920,22,6,District-Janjgir - Champa,Urban,80-89,20,21,20,2,2,36,55,7,3
C4920,22,6,District-Janjgir - Champa,Urban,90+,4,3,2,0,0,5,7,1,2
C4920,22,6,District-Janjgir - Champa,Urban,Age Not Stated,1,0,0,0,0,0,0,0,1
C4920,22,7,District-Bilaspur,Rural,0-4,114,113,125,34,21,303,209,40,44
C4920,22,7,District-Bilaspur,Rural,5-9,249,250,208,188,144,471,311,199,139
C4920,22,7,District-Bilaspur,Rural,10-19,566,702,511,359,306,1471,1125,578,471
C4920,22,7,District-Bilaspur,Rural,20-29,369,673,385,215,152,2196,1298,443,370
C4920,22,7,District-Bilaspur,Rural,30-39,358,599,436,156,117,1605,896,455,319
C4920,22,7,District-Bilaspur,Rural,40-49,354,557,407,90,78,1211,749,338,272
C4920,22,7,District-Bilaspur,Rural,50-59,407,450,357,83,57,1107,701,119,121
C4920,22,7,District-Bilaspur,Rural,60-69,768,567,680,55,58,1129,1011,81,86
C4920,22,7,District-Bilaspur,Rural,70-79,547,447,543,23,27,717,752,23,27
C4920,22,7,District-Bilaspur,Rural,80-89,176,167,188,15,5,251,259,11,6
C4920,22,7,District-Bilaspur,Rural,90+,41,37,43,1,3,74,84,6,3
C4920,22,7,District-Bilaspur,Rural,Age Not Stated,6,6,7,2,0,11,9,3,3
C4920,22,7,District-Bilaspur,Urban,0-4,30,33,36,10,11,51,30,10,16
C4920,22,7,District-Bilaspur,Urban,5-9,54,54,48,45,44,75,64,46,32
C4920,22,7,District-Bilaspur,Urban,10-19,137,123,97,102,81,280,198,160,129
C4920,22,7,District-Bilaspur,Urban,20-29,116,146,108,104,84,471,371,164,136
C4920,22,7,District-Bilaspur,Urban,30-39,109,154,116,77,46,421,246,191,126
C4920,22,7,District-Bilaspur,Urban,40-49,122,114,81,55,42,374,161,133,109
C4920,22,7,District-Bilaspur,Urban,50-59,117,84,73,39,33,283,142,63,48
C4920,22,7,District-Bilaspur,Urban,60-69,113,89,91,29,24,259,184,30,43
C4920,22,7,District-Bilaspur,Urban,70-79,81,100,92,6,11,168,176,13,19
C4920,22,7,District-Bilaspur,Urban,80-89,33,27,29,6,2,49,72,3,9
C4920,22,7,District-Bilaspur,Urban,90+,1,9,9,0,2,11,22,2,1
C4920,22,7,District-Bilaspur,Urban,Age Not Stated,2,3,0,0,0,5,3,0,1
C4920,22,8,District-Kabeerdham,Rural,0-4,34,32,34,14,7,95,56,11,14
C4920,22,8,District-Kabeerdham,Rural,5-9,68,62,51,69,44,171,106,64,48
C4920,22,8,District-Kabeerdham,Rural,10-19,173,173,134,126,93,534,404,173,164
C4920,22,8,District-Kabeerdham,Rural,20-29,146,156,106,81,57,785,502,149,113
C4920,22,8,District-Kabeerdham,Rural,30-39,131,134,126,72,39,557,344,114,84
C4920,22,8,District-Kabeerdham,Rural,40-49,150,150,119,58,34,397,276,96,82
C4920,22,8,District-Kabeerdham,Rural,50-59,201,126,122,29,26,299,238,38,47
C4920,22,8,District-Kabeerdham,Rural,60-69,305,206,229,26,21,346,379,23,19
C4920,22,8,District-Kabeerdham,Rural,70-79,240,161,168,7,8,257,322,12,13
C4920,22,8,District-Kabeerdham,Rural,80-89,79,65,55,3,2,104,151,1,4
C4920,22,8,District-Kabeerdham,Rural,90+,22,24,26,0,0,27,36,1,3
C4920,22,8,District-Kabeerdham,Rural,Age Not Stated,0,2,1,0,1,1,1,0,0
C4920,22,8,District-Kabeerdham,Urban,0-4,4,2,5,0,1,5,9,0,1
C4920,22,8,District-Kabeerdham,Urban,5-9,16,20,8,5,7,12,6,4,4
