Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,3,5,District-Shahid Bhagat Singh Nagar ,Rural,60-69,136,124,99,124,12,16,203,146,61,49
C4920,3,5,District-Shahid Bhagat Singh Nagar ,Rural,70-79,135,115,80,100,10,10,111,76,24,23
C4920,3,5,District-Shahid Bhagat Singh Nagar ,Rural,80-89,49,68,61,63,2,2,70,50,8,10
C4920,3,5,District-Shahid Bhagat Singh Nagar ,Rural,90+,23,36,25,35,2,4,25,31,4,8
C4920,3,5,District-Shahid Bhagat Singh Nagar ,Rural,Age Not Stated,4,4,5,3,0,0,1,4,5,1
C4920,3,5,District-Shahid Bhagat Singh Nagar ,Urban,0-4,19,17,15,10,1,0,8,1,2,1
C4920,3,5,District-Shahid Bhagat Singh Nagar ,Urban,5-9,25,14,22,19,5,4,6,4,11,7
C4920,3,5,District-Shahid Bhagat Singh Nagar ,Urban,10-19,40,26,59,38,20,13,33,16,43,15
C4920,3,5,District-Shahid Bhagat Singh Nagar ,Urban,20-29,23,31,44,47,10,9,73,37,33,21
C4920,3,5,District-Shahid Bhagat Singh Nagar ,Urban,30-39,28,26,59,46,10,11,73,42,38,14
C4920,3,5,District-Shahid Bhagat Singh Nagar ,Urban,40-49,25,23,41,43,5,4,49,36,25,6
C4920,3,5,District-Shahid Bhagat Singh Nagar ,Urban,50-59,32,12,31,31,9,2,31,21,12,11
C4920,3,5,District-Shahid Bhagat Singh Nagar ,Urban,60-69,13,25,34,26,3,3,29,28,10,8
C4920,3,5,District-Shahid Bhagat Singh Nagar ,Urban,70-79,19,22,21,20,1,1,19,19,3,2
C4920,3,5,District-Shahid Bhagat Singh Nagar ,Urban,80-89,8,7,13,13,1,1,6,9,3,2
C4920,3,5,District-Shahid Bhagat Singh Nagar ,Urban,90+,2,6,5,4,0,1,0,5,0,4
C4920,3,5,District-Shahid Bhagat Singh Nagar ,Urban,Age Not Stated,0,2,2,0,0,0,0,1,0,1
C4920,3,6,District-Fatehgarh Sahib,Rural,0-4,27,19,102,78,5,3,17,16,7,5
C4920,3,6,District-Fatehgarh Sahib,Rural,5-9,20,16,97,76,24,17,33,24,43,26
C4920,3,6,District-Fatehgarh Sahib,Rural,10-19,73,57,206,158,63,33,118,68,170,90
C4920,3,6,District-Fatehgarh Sahib,Rural,20-29,88,54,267,195,47,29,321,183,112,64
C4920,3,6,District-Fatehgarh Sahib,Rural,30-39,63,61,167,159,26,16,345,178,124,61
C4920,3,6,District-Fatehgarh Sahib,Rural,40-49,96,60,159,122,25,24,206,96,109,68
C4920,3,6,District-Fatehgarh Sahib,Rural,50-59,99,76,105,77,16,8,157,84,68,42
C4920,3,6,District-Fatehgarh Sahib,Rural,60-69,118,115,99,105,14,12,165,117,49,24
C4920,3,6,District-Fatehgarh Sahib,Rural,70-79,100,99,77,58,12,15,99,63,24,16
C4920,3,6,District-Fatehgarh Sahib,Rural,80-89,50,36,22,39,4,4,33,34,7,7
C4920,3,6,District-Fatehgarh Sahib,Rural,90+,18,13,12,13,0,4,9,14,4,3
C4920,3,6,District-Fatehgarh Sahib,Rural,Age Not Stated,2,2,2,1,0,0,10,2,0,1
C4920,3,6,District-Fatehgarh Sahib,Urban,0-4,12,11,33,17,2,2,9,3,5,7
C4920,3,6,District-Fatehgarh Sahib,Urban,5-9,14,6,22,31,13,4,11,12,13,10
C4920,3,6,District-Fatehgarh Sahib,Urban,10-19,42,36,79,48,18,13,41,18,52,15
C4920,3,6,District-Fatehgarh Sahib,Urban,20-29,39,31,81,58,11,19,74,58,53,24
