Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,2,3,District-Lahul & Spiti,Rural,50-59,17,3,4,3,2,8,8,2,0
C4920,2,3,District-Lahul & Spiti,Rural,60-69,12,9,4,1,1,14,10,0,0
C4920,2,3,District-Lahul & Spiti,Rural,70-79,12,8,7,0,0,5,10,1,0
C4920,2,3,District-Lahul & Spiti,Rural,80-89,1,7,7,0,0,6,6,1,0
C4920,2,3,District-Lahul & Spiti,Rural,90+,2,0,3,0,0,1,1,0,0
C4920,2,3,District-Lahul & Spiti,Rural,Age Not Stated,1,0,0,0,0,0,0,1,0
C4920,2,3,District-Lahul & Spiti,Urban,0-4,0,0,0,0,0,0,0,0,0
C4920,2,3,District-Lahul & Spiti,Urban,5-9,0,0,0,0,0,0,0,0,0
C4920,2,3,District-Lahul & Spiti,Urban,10-19,0,0,0,0,0,0,0,0,0
C4920,2,3,District-Lahul & Spiti,Urban,20-29,0,0,0,0,0,0,0,0,0
C4920,2,3,District-Lahul & Spiti,Urban,30-39,0,0,0,0,0,0,0,0,0
C4920,2,3,District-Lahul & Spiti,Urban,40-49,0,0,0,0,0,0,0,0,0
C4920,2,3,District-Lahul & Spiti,Urban,50-59,0,0,0,0,0,0,0,0,0
C4920,2,3,District-Lahul & Spiti,Urban,60-69,0,0,0,0,0,0,0,0,0
C4920,2,3,District-Lahul & Spiti,Urban,70-79,0,0,0,0,0,0,0,0,0
C4920,2,3,District-Lahul & Spiti,Urban,80-89,0,0,0,0,0,0,0,0,0
C4920,2,3,District-Lahul & Spiti,Urban,90+,0,0,0,0,0,0,0,0,0
C4920,2,3,District-Lahul & Spiti,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,2,4,District-Kullu,Rural,0-4,19,12,16,0,1,15,6,5,5
C4920,2,4,District-Kullu,Rural,5-9,19,20,18,25,17,21,18,17,11
C4920,2,4,District-Kullu,Rural,10-19,71,92,66,53,34,83,74,66,56
C4920,2,4,District-Kullu,Rural,20-29,65,81,48,47,31,134,74,75,42
C4920,2,4,District-Kullu,Rural,30-39,65,66,55,40,25,173,69,57,44
C4920,2,4,District-Kullu,Rural,40-49,58,86,53,57,33,153,92,37,40
C4920,2,4,District-Kullu,Rural,50-59,65,107,96,21,21,116,74,23,14
C4920,2,4,District-Kullu,Rural,60-69,85,155,105,39,25,114,94,12,7
C4920,2,4,District-Kullu,Rural,70-79,87,139,121,17,16,76,69,8,8
C4920,2,4,District-Kullu,Rural,80-89,60,98,73,7,4,32,32,2,5
C4920,2,4,District-Kullu,Rural,90+,20,24,35,2,5,8,11,1,0
C4920,2,4,District-Kullu,Rural,Age Not Stated,1,2,0,0,0,1,2,0,0
C4920,2,4,District-Kullu,Urban,0-4,1,2,4,0,0,1,1,0,1
C4920,2,4,District-Kullu,Urban,5-9,2,4,4,0,1,2,0,2,2
C4920,2,4,District-Kullu,Urban,10-19,3,13,8,1,2,5,2,4,8
C4920,2,4,District-Kullu,Urban,20-29,8,6,5,5,4,7,3,7,1
C4920,2,4,District-Kullu,Urban,30-39,5,5,5,2,2,12,10,6,4
C4920,2,4,District-Kullu,Urban,40-49,9,6,3,5,0,10,1,5,2
C4920,2,4,District-Kullu,Urban,50-59,4,6,6,2,1,4,5,4,0
C4920,2,4,District-Kullu,Urban,60-69,1,12,7,1,1,9,5,0,3
C4920,2,4,District-Kullu,Urban,70-79,2,6,5,0,1,2,7,2,0
C4920,2,4,District-Kullu,Urban,80-89,2,4,6,0,0,0,6,0,1
C4920,2,4,District-Kullu,Urban,90+,0,3,1,0,0,2,2,0,0
C4920,2,4,District-Kullu,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,2,5,District-Mandi,Rural,0-4,76,71,52,8,6,37,18,13,10
C4920,2,5,District-Mandi,Rural,5-9,105,75,66,70,46,72,50,71,56
C4920,2,5,District-Mandi,Rural,10-19,263,223,200,133,109,223,135,216,160
C4920,2,5,District-Mandi,Rural,20-29,275,243,211,127,89,335,194,208,161
