Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,8,7,District-Bharatpur,Rural,50-59,323,213,221,100,49,486,281,80,73
C4920,8,7,District-Bharatpur,Rural,60-69,540,362,403,58,46,628,686,58,48
C4920,8,7,District-Bharatpur,Rural,70-79,555,356,394,29,20,697,774,30,15
C4920,8,7,District-Bharatpur,Rural,80-89,248,158,151,13,3,432,383,12,7
C4920,8,7,District-Bharatpur,Rural,90+,52,55,40,4,3,101,105,2,0
C4920,8,7,District-Bharatpur,Rural,Age Not Stated,13,39,18,10,2,40,24,13,4
C4920,8,7,District-Bharatpur,Urban,0-4,12,44,41,2,2,23,18,15,4
C4920,8,7,District-Bharatpur,Urban,5-9,21,56,42,24,19,53,23,29,12
C4920,8,7,District-Bharatpur,Urban,10-19,90,143,116,59,39,235,132,142,66
C4920,8,7,District-Bharatpur,Urban,20-29,57,146,107,65,25,272,156,112,39
C4920,8,7,District-Bharatpur,Urban,30-39,50,116,63,31,23,254,148,98,32
C4920,8,7,District-Bharatpur,Urban,40-49,46,98,70,39,25,158,88,65,22
C4920,8,7,District-Bharatpur,Urban,50-59,50,74,67,24,11,116,66,32,15
C4920,8,7,District-Bharatpur,Urban,60-69,57,48,60,17,12,116,122,9,6
C4920,8,7,District-Bharatpur,Urban,70-79,46,59,74,9,6,113,115,6,4
C4920,8,7,District-Bharatpur,Urban,80-89,22,14,18,3,3,42,59,0,2
C4920,8,7,District-Bharatpur,Urban,90+,1,10,8,2,0,12,30,1,0
C4920,8,7,District-Bharatpur,Urban,Age Not Stated,0,3,2,0,0,3,1,2,0
C4920,8,8,District-Dhaulpur,Rural,0-4,35,51,48,14,9,73,50,24,8
C4920,8,8,District-Dhaulpur,Rural,5-9,57,70,51,68,56,144,83,88,44
C4920,8,8,District-Dhaulpur,Rural,10-19,148,182,111,156,77,716,311,341,142
C4920,8,8,District-Dhaulpur,Rural,20-29,113,129,79,86,42,822,313,178,68
C4920,8,8,District-Dhaulpur,Rural,30-39,116,103,69,46,33,518,240,116,61
C4920,8,8,District-Dhaulpur,Rural,40-49,128,107,58,45,27,333,134,89,52
C4920,8,8,District-Dhaulpur,Rural,50-59,149,85,67,20,16,245,127,39,24
C4920,8,8,District-Dhaulpur,Rural,60-69,266,135,155,22,16,298,281,21,25
C4920,8,8,District-Dhaulpur,Rural,70-79,300,127,159,8,2,316,318,9,9
C4920,8,8,District-Dhaulpur,Rural,80-89,133,54,50,5,8,142,131,2,5
C4920,8,8,District-Dhaulpur,Rural,90+,34,20,18,1,0,35,46,0,0
C4920,8,8,District-Dhaulpur,Rural,Age Not Stated,2,2,0,3,4,2,2,0,1
C4920,8,8,District-Dhaulpur,Urban,0-4,14,15,7,2,2,13,12,0,4
C4920,8,8,District-Dhaulpur,Urban,5-9,16,18,20,18,8,34,14,23,9
C4920,8,8,District-Dhaulpur,Urban,10-19,39,53,38,36,20,151,79,75,23
C4920,8,8,District-Dhaulpur,Urban,20-29,20,41,31,18,13,191,87,47,17
C4920,8,8,District-Dhaulpur,Urban,30-39,21,33,22,18,16,137,78,46,11
C4920,8,8,District-Dhaulpur,Urban,40-49,21,33,16,17,10,75,38,19,11
C4920,8,8,District-Dhaulpur,Urban,50-59,24,23,26,8,5,66,30,10,8
C4920,8,8,District-Dhaulpur,Urban,60-69,31,22,22,6,0,58,38,7,5
C4920,8,8,District-Dhaulpur,Urban,70-79,27,19,15,1,3,42,40,1,1
C4920,8,8,District-Dhaulpur,Urban,80-89,13,6,12,2,0,24,14,1,1
C4920,8,8,District-Dhaulpur,Urban,90+,1,3,5,0,0,4,7,0,0
C4920,8,8,District-Dhaulpur,Urban,Age Not Stated,2,0,1,0,0,0,0,0,0
C4920,8,9,District-Karauli,Rural,0-4,106,82,78,14,7,78,51,39,18
C4920,8,9,District-Karauli,Rural,5-9,133,107,107,93,54,161,109,99,53
C4920,8,9,District-Karauli,Rural,10-19,328,332,188,206,99,634,299,346,139
C4920,8,9,District-Karauli,Rural,20-29,233,264,154,116,50,760,304,244,70
C4920,8,9,District-Karauli,Rural,30-39,197,210,139,67,45,568,287,198,67
C4920,8,9,District-Karauli,Rural,40-49,210,163,134,56,40,461,228,122,86
C4920,8,9,District-Karauli,Rural,50-59,226,158,142,26,23,411,247,78,51
C4920,8,9,District-Karauli,Rural,60-69,456,275,324,24,20,562,570,46,31
C4920,8,9,District-Karauli,Rural,70-79,517,265,297,20,13,582,603,22,20
C4920,8,9,District-Karauli,Rural,80-89,189,121,100,4,3,222,255,5,6
C4920,8,9,District-Karauli,Rural,90+,42,26,26,2,2,52,68,2,2
C4920,8,9,District-Karauli,Rural,Age Not Stated,9,11,10,2,1,31,27,10,4
C4920,8,9,District-Karauli,Urban,0-4,26,8,14,2,2,21,14,7,5
C4920,8,9,District-Karauli,Urban,5-9,26,23,14,13,2,34,14,17,12
C4920,8,9,District-Karauli,Urban,10-19,60,57,43,22,15,92,56,56,32
C4920,8,9,District-Karauli,Urban,20-29,54,38,26,18,12,131,47,60,21
C4920,8,9,District-Karauli,Urban,30-39,45,33,24,15,4,107,46,44,13
C4920,8,9,District-Karauli,Urban,40-49,33,26,24,7,6,81,35,39,13
C4920,8,9,District-Karauli,Urban,50-59,43,29,24,6,4,77,48,12,12
C4920,8,9,District-Karauli,Urban,60-69,56,29,30,4,3,82,56,10,4
C4920,8,9,District-Karauli,Urban,70-79,52,35,30,1,0,69,63,3,2
C4920,8,9,District-Karauli,Urban,80-89,21,11,19,0,2,21,29,1,0
C4920,8,9,District-Karauli,Urban,90+,4,2,4,0,1,6,4,0,0
C4920,8,9,District-Karauli,Urban,Age Not Stated,0,0,0,0,0,1,1,0,0
C4920,8,10,District-Sawai Madhopur,Rural,0-4,211,100,63,14,9,67,50,19,12
C4920,8,10,District-Sawai Madhopur,Rural,5-9,262,138,126,97,72,104,80,84,52
C4920,8,10,District-Sawai Madhopur,Rural,10-19,473,278,257,167,90,408,250,278,146
C4920,8,10,District-Sawai Madhopur,Rural,20-29,371,255,138,112,60,595,282,179,78
C4920,8,10,District-Sawai Madhopur,Rural,30-39,334,220,124,75,53,605,293,149,81
C4920,8,10,District-Sawai Madhopur,Rural,40-49,345,208,119,66,42,387,202,155,91
C4920,8,10,District-Sawai Madhopur,Rural,50-59,366,190,174,41,35,340,255,68,53
C4920,8,10,District-Sawai Madhopur,Rural,60-69,530,300,366,36,21,491,586,53,45
C4920,8,10,District-Sawai Madhopur,Rural,70-79,527,276,273,17,20,546,633,15,19
C4920,8,10,District-Sawai Madhopur,Rural,80-89,171,92,98,8,4,208,239,6,4
C4920,8,10,District-Sawai Madhopur,Rural,90+,22,10,15,1,2,24,35,1,1
C4920,8,10,District-Sawai Madhopur,Rural,Age Not Stated,3,1,1,1,0,4,3,1,0
C4920,8,10,District-Sawai Madhopur,Urban,0-4,23,33,16,2,4,16,6,9,5
C4920,8,10,District-Sawai Madhopur,Urban,5-9,38,31,34,20,14,43,20,20,10
C4920,8,10,District-Sawai Madhopur,Urban,10-19,64,93,57,41,37,73,49,74,40
C4920,8,10,District-Sawai Madhopur,Urban,20-29,60,69,65,29,15,137,76,65,35
C4920,8,10,District-Sawai Madhopur,Urban,30-39,56,52,46,19,25,128,68,49,28
C4920,8,10,District-Sawai Madhopur,Urban,40-49,62,71,41,21,14,107,41,47,18
C4920,8,10,District-Sawai Madhopur,Urban,50-59,40,39,31,11,9,73,50,17,15
C4920,8,10,District-Sawai Madhopur,Urban,60-69,49,40,38,7,8,69,58,9,11
C4920,8,10,District-Sawai Madhopur,Urban,70-79,40,31,34,5,7,58,55,6,3
C4920,8,10,District-Sawai Madhopur,Urban,80-89,10,12,19,1,0,19,23,0,0
C4920,8,10,District-Sawai Madhopur,Urban,90+,2,1,1,1,1,3,6,0,0
C4920,8,10,District-Sawai Madhopur,Urban,Age Not Stated,0,1,0,0,0,1,1,0,0
C4920,8,11,District-Dausa,Rural,0-4,130,99,101,10,7,82,69,19,16
C4920,8,11,District-Dausa,Rural,5-9,139,114,114,99,54,172,96,102,82
C4920,8,11,District-Dausa,Rural,10-19,368,262,225,179,95,528,305,365,199
C4920,8,11,District-Dausa,Rural,20-29,240,229,132,79,48,836,381,236,62
C4920,8,11,District-Dausa,Rural,30-39,250,209,141,67,47,649,291,218,106
C4920,8,11,District-Dausa,Rural,40-49,260,191,134,50,43,533,229,171,92
C4920,8,11,District-Dausa,Rural,50-59,321,193,161,41,33,454,402,94,75
C4920,8,11,District-Dausa,Rural,60-69,638,313,336,30,21,805,997,53,50
C4920,8,11,District-Dausa,Rural,70-79,606,260,302,19,10,830,830,24,13
C4920,8,11,District-Dausa,Rural,80-89,183,103,86,2,3,329,316,5,6
C4920,8,11,District-Dausa,Rural,90+,26,28,20,2,0,57,74,3,0
C4920,8,11,District-Dausa,Rural,Age Not Stated,26,17,20,4,1,49,43,15,10
C4920,8,11,District-Dausa,Urban,0-4,25,26,20,2,1,6,4,3,3
C4920,8,11,District-Dausa,Urban,5-9,41,36,21,15,7,14,6,14,5
C4920,8,11,District-Dausa,Urban,10-19,90,61,38,40,20,63,28,52,26
C4920,8,11,District-Dausa,Urban,20-29,60,35,30,19,9,72,54,38,14
C4920,8,11,District-Dausa,Urban,30-39,51,52,27,13,12,82,43,34,21
C4920,8,11,District-Dausa,Urban,40-49,52,55,30,14,11,86,35,24,11
