Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,28,6,District-Rangareddy,Rural,0-4,269,224,199,168,42,17,115,90,54,42
C4920,28,6,District-Rangareddy,Rural,5-9,328,292,254,262,250,215,207,143,149,127
C4920,28,6,District-Rangareddy,Rural,10-19,820,687,642,636,503,428,732,468,378,376
C4920,28,6,District-Rangareddy,Rural,20-29,734,627,541,526,467,394,1448,761,342,325
C4920,28,6,District-Rangareddy,Rural,30-39,741,554,526,484,445,280,1228,546,271,254
C4920,28,6,District-Rangareddy,Rural,40-49,671,568,437,359,326,222,1160,479,204,165
C4920,28,6,District-Rangareddy,Rural,50-59,614,675,358,317,208,135,935,574,120,92
C4920,28,6,District-Rangareddy,Rural,60-69,898,1124,394,455,206,158,1168,818,75,88
C4920,28,6,District-Rangareddy,Rural,70-79,607,649,272,243,73,61,560,440,28,28
C4920,28,6,District-Rangareddy,Rural,80-89,196,230,93,107,11,14,151,163,10,6
C4920,28,6,District-Rangareddy,Rural,90+,50,57,27,33,6,1,49,32,3,3
C4920,28,6,District-Rangareddy,Rural,Age Not Stated,132,135,54,39,30,27,127,106,36,21
C4920,28,6,District-Rangareddy,Urban,0-4,717,664,1061,1005,82,64,130,105,130,98
C4920,28,6,District-Rangareddy,Urban,5-9,740,658,1126,1032,476,424,220,153,240,163
C4920,28,6,District-Rangareddy,Urban,10-19,1612,1457,2445,2284,958,937,609,469,687,515
C4920,28,6,District-Rangareddy,Urban,20-29,1888,1966,2945,3215,1216,1136,1290,912,699,581
C4920,28,6,District-Rangareddy,Urban,30-39,1930,1547,2731,2342,1460,967,1290,631,596,429
C4920,28,6,District-Rangareddy,Urban,40-49,1547,1089,1809,1475,1127,614,1220,512,387,268
C4920,28,6,District-Rangareddy,Urban,50-59,1026,856,1196,980,667,401,1067,475,216,156
C4920,28,6,District-Rangareddy,Urban,60-69,788,734,757,630,444,221,796,414,136,99
C4920,28,6,District-Rangareddy,Urban,70-79,301,289,322,260,134,84,332,211,35,41
C4920,28,6,District-Rangareddy,Urban,80-89,99,138,137,127,38,35,88,104,13,14
C4920,28,6,District-Rangareddy,Urban,90+,45,30,58,63,24,13,14,28,5,8
C4920,28,6,District-Rangareddy,Urban,Age Not Stated,265,205,666,612,138,112,167,102,68,61
C4920,28,7,District-Mahbubnagar,Rural,0-4,162,160,298,267,63,66,300,210,102,84
C4920,28,7,District-Mahbubnagar,Rural,5-9,291,244,464,400,533,397,615,403,339,302
C4920,28,7,District-Mahbubnagar,Rural,10-19,710,627,1104,1007,984,756,1796,1355,870,811
C4920,28,7,District-Mahbubnagar,Rural,20-29,695,501,924,906,597,538,2821,1740,645,690
C4920,28,7,District-Mahbubnagar,Rural,30-39,736,570,831,945,525,404,2506,1398,494,522
C4920,28,7,District-Mahbubnagar,Rural,40-49,854,796,829,817,375,293,2110,1066,401,379
C4920,28,7,District-Mahbubnagar,Rural,50-59,998,1140,686,777,220,201,1907,1222,234,257
C4920,28,7,District-Mahbubnagar,Rural,60-69,1570,2221,906,1002,233,195,2147,1758,155,162
C4920,28,7,District-Mahbubnagar,Rural,70-79,1151,1279,535,523,102,71,1092,904,64,50
C4920,28,7,District-Mahbubnagar,Rural,80-89,367,492,168,197,17,20,275,372,18,14
C4920,28,7,District-Mahbubnagar,Rural,90+,69,100,46,48,8,6,57,80,5,7
C4920,28,7,District-Mahbubnagar,Rural,Age Not Stated,35,30,33,27,25,19,71,46,9,16
C4920,28,7,District-Mahbubnagar,Urban,0-4,23,18,40,47,11,4,25,18,20,9
C4920,28,7,District-Mahbubnagar,Urban,5-9,72,52,66,58,64,61,63,42,45,35
C4920,28,7,District-Mahbubnagar,Urban,10-19,218,147,173,139,165,129,197,162,137,118
C4920,28,7,District-Mahbubnagar,Urban,20-29,101,88,155,154,122,104,347,280,111,110
C4920,28,7,District-Mahbubnagar,Urban,30-39,106,64,148,147,123,84,394,198,109,77
C4920,28,7,District-Mahbubnagar,Urban,40-49,120,66,128,105,89,59,347,131,73,59
