Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing - Males,In seeing - Females,In Hearing - Males,In Hearing - Females,In Speech - Males,In Speech - Females,In Movement - Males,In Movement - Females,Mental - Males,Mental - Females
C4920,9,1,District-Saharanpur,Urban,Age Not Stated,19,28,97,107,11,11,21,7,10,4
C4920,9,2,District-Muzaffarnagar,Rural,0-4,228,217,367,366,23,14,161,114,68,37
C4920,9,2,District-Muzaffarnagar,Rural,5-9,313,263,501,419,264,181,351,177,219,125
C4920,9,2,District-Muzaffarnagar,Rural,10-19,647,556,1037,919,503,328,2090,1185,771,462
C4920,9,2,District-Muzaffarnagar,Rural,20-29,425,316,673,538,292,172,1863,784,485,193
C4920,9,2,District-Muzaffarnagar,Rural,30-39,346,302,502,435,183,118,1117,514,349,154
C4920,9,2,District-Muzaffarnagar,Rural,40-49,337,257,436,333,144,99,694,323,209,141
C4920,9,2,District-Muzaffarnagar,Rural,50-59,331,304,335,326,81,60,477,250,118,86
C4920,9,2,District-Muzaffarnagar,Rural,60-69,576,618,355,405,68,46,528,336,82,78
C4920,9,2,District-Muzaffarnagar,Rural,70-79,446,505,326,341,31,25,349,263,30,28
C4920,9,2,District-Muzaffarnagar,Rural,80-89,226,210,209,141,17,13,152,106,12,8
C4920,9,2,District-Muzaffarnagar,Rural,90+,70,67,65,48,9,6,41,48,6,3
C4920,9,2,District-Muzaffarnagar,Rural,Age Not Stated,40,27,49,24,11,5,21,14,5,5
C4920,9,2,District-Muzaffarnagar,Urban,0-4,106,73,153,139,9,10,50,37,25,17
C4920,9,2,District-Muzaffarnagar,Urban,5-9,124,90,198,185,91,53,111,50,79,50
C4920,9,2,District-Muzaffarnagar,Urban,10-19,263,213,449,447,216,167,576,336,290,160
C4920,9,2,District-Muzaffarnagar,Urban,20-29,182,165,358,305,138,97,582,250,212,110
C4920,9,2,District-Muzaffarnagar,Urban,30-39,138,98,248,226,93,61,370,190,148,91
C4920,9,2,District-Muzaffarnagar,Urban,40-49,159,109,222,189,87,52,267,126,109,54
C4920,9,2,District-Muzaffarnagar,Urban,50-59,166,148,159,134,49,38,185,101,62,25
C4920,9,2,District-Muzaffarnagar,Urban,60-69,194,178,130,135,21,28,186,119,23,20
C4920,9,2,District-Muzaffarnagar,Urban,70-79,111,108,97,91,14,10,94,84,7,10
C4920,9,2,District-Muzaffarnagar,Urban,80-89,58,42,32,45,4,3,48,46,2,4
C4920,9,2,District-Muzaffarnagar,Urban,90+,15,13,17,14,1,0,10,21,2,2
C4920,9,2,District-Muzaffarnagar,Urban,Age Not Stated,11,4,38,40,5,4,7,4,3,0
C4920,9,3,District-Bijnor,Rural,0-4,195,145,362,275,33,27,152,89,69,48
C4920,9,3,District-Bijnor,Rural,5-9,269,232,428,426,262,160,320,196,240,172
C4920,9,3,District-Bijnor,Rural,10-19,596,521,995,938,574,382,1871,1203,695,493
C4920,9,3,District-Bijnor,Rural,20-29,406,297,645,516,295,195,1855,900,446,267
C4920,9,3,District-Bijnor,Rural,30-39,325,243,503,437,192,146,949,486,287,182
C4920,9,3,District-Bijnor,Rural,40-49,359,257,427,324,156,123,586,253,211,116
C4920,9,3,District-Bijnor,Rural,50-59,388,304,280,299,66,61,383,186,92,65
C4920,9,3,District-Bijnor,Rural,60-69,509,525,371,384,66,67,379,246,62,43
C4920,9,3,District-Bijnor,Rural,70-79,366,407,263,249,34,27,236,160,23,19
C4920,9,3,District-Bijnor,Rural,80-89,186,180,133,127,7,11,101,108,5,5
C4920,9,3,District-Bijnor,Rural,90+,58,65,42,56,9,4,40,49,2,7
C4920,9,3,District-Bijnor,Rural,Age Not Stated,57,53,55,52,17,18,62,28,18,15
C4920,9,3,District-Bijnor,Urban,0-4,69,67,128,127,11,11,34,20,19,14
C4920,9,3,District-Bijnor,Urban,5-9,97,66,166,161,85,53,65,49,51,24
C4920,9,3,District-Bijnor,Urban,10-19,184,170,401,360,164,127,420,233,198,116
C4920,9,3,District-Bijnor,Urban,20-29,147,110,325,260,133,84,471,228,172,84
C4920,9,3,District-Bijnor,Urban,30-39,110,80,207,176,61,53,229,96,117,61
C4920,9,3,District-Bijnor,Urban,40-49,118,79,192,145,71,48,173,63,65,40
C4920,9,3,District-Bijnor,Urban,50-59,107,80,118,125,51,38,112,50,35,27
C4920,9,3,District-Bijnor,Urban,60-69,133,117,121,111,25,16,114,64,23,12
C4920,9,3,District-Bijnor,Urban,70-79,81,84,82,63,14,12,65,51,7,5
C4920,9,3,District-Bijnor,Urban,80-89,27,28,42,34,7,3,29,26,0,2
C4920,9,3,District-Bijnor,Urban,90+,14,18,14,23,1,1,13,10,2,3
C4920,9,3,District-Bijnor,Urban,Age Not Stated,9,15,29,28,8,1,15,4,4,0
C4920,9,4,District-Moradabad,Rural,0-4,339,323,693,674,43,34,159,120,90,74
C4920,9,4,District-Moradabad,Rural,5-9,402,317,838,790,312,210,333,225,236,134
C4920,9,4,District-Moradabad,Rural,10-19,829,648,1829,1652,612,438,1920,1066,717,460
C4920,9,4,District-Moradabad,Rural,20-29,522,348,1064,886,319,222,1491,581,455,210
C4920,9,4,District-Moradabad,Rural,30-39,442,334,836,712,233,168,792,357,270,176
C4920,9,4,District-Moradabad,Rural,40-49,423,303,634,562,172,106,506,166,227,109
C4920,9,4,District-Moradabad,Rural,50-59,411,360,430,410,89,78,329,149,102,75
C4920,9,4,District-Moradabad,Rural,60-69,597,579,472,465,74,76,343,231,72,57
C4920,9,4,District-Moradabad,Rural,70-79,307,333,226,256,32,27,174,103,27,29
C4920,9,4,District-Moradabad,Rural,80-89,123,147,94,84,6,14,66,54,11,7
C4920,9,4,District-Moradabad,Rural,90+,51,54,52,39,8,0,32,30,6,3
C4920,9,4,District-Moradabad,Rural,Age Not Stated,120,84,134,177,55,50,93,49,28,29
C4920,9,4,District-Moradabad,Urban,0-4,117,114,321,286,23,10,59,42,40,37
C4920,9,4,District-Moradabad,Urban,5-9,166,131,399,375,106,105,116,76,78,65
C4920,9,4,District-Moradabad,Urban,10-19,361,367,998,880,290,218,552,318,358,216
C4920,9,4,District-Moradabad,Urban,20-29,300,221,801,680,207,159,584,302,302,169
C4920,9,4,District-Moradabad,Urban,30-39,251,172,552,451,158,111,343,133,202,122
C4920,9,4,District-Moradabad,Urban,40-49,245,165,514,384,122,100,252,106,124,78
C4920,9,4,District-Moradabad,Urban,50-59,215,187,313,259,96,53,210,84,73,46
C4920,9,4,District-Moradabad,Urban,60-69,225,182,266,197,51,48,204,109,35,24
C4920,9,4,District-Moradabad,Urban,70-79,104,141,107,131,18,20,101,95,19,16
C4920,9,4,District-Moradabad,Urban,80-89,42,36,57,49,9,9,35,44,1,4
C4920,9,4,District-Moradabad,Urban,90+,13,22,18,32,1,5,18,10,2,4
C4920,9,4,District-Moradabad,Urban,Age Not Stated,57,35,127,95,21,20,43,21,20,12
